n1,n2,n3,n4,eng
dima,dayman,,,always
machi,,,,not
ghaliban,ghaaliban,,,often
9aryban,9ariban,qaryban,qariban,soon
bkri,bekri,barki,,early
bchwia,,,,slowly
bl8adawa,,,,carefully
imkn,yemken,imken,,perhaps
8na,,,,here
l8i8,lhih,,,there
9rib,,,,nearby
lfo9,lfou9,lfog,lfoug,upstairs
mn b3d,men be3d,mn be3d,,later
daba,,,,now
chwia,,,,a little
bzzaf,bzaf,,,a lot
kolliyan,,,,totally
flblaSa,,,,instantly
t9riban,ta9riban,te9riban,taqriban,almost
mrra mrra,,,,sometimes
b3d lmrrat,b3d lmerrat,be3d lmerrat,ba3d lmarrat,sometimes
naadiran,nadiran,,,rarely
walakin,,,,however
walakin,,,,but
zid 3liha,,,,in addition
kafi,kaafi,,,enough
ga3,,,,never
dghya,deghya,dghia,daghya,quickly
bzzrba,bzzerba,bzzarba,bzerba,quickly
9bel,9bl,,,before
mnb3d,mn b3d,mn be3d,mnbe3d,after
9ariban,,,,soon
mazal,,,,still
mazal,,,,yet
akhiran,,,,finally
7rfyyan,7arfyyan,7erfian,7arfian,literally
ghaliban,ghaaliban,,,probably
yawmian,yawmiyyan,yawmyyan,,daily
mo2khkharan,mo2kharan,mo255aran,,recently
mjmou3in,mjmo3in,mejmou3in,mejmo3in,together
