"n1","n2","n3","n4","eng"
"klb","kalb","kelb","","dog"
"mch","moch","mech","","cat"
"7mar","hmar","himar","","donkey"
"zarafa","","","","giraffe"
"sb3","sbe3","sbaa","sba3","lion"
"djaja","","","","chicken"
"frouj","farrouj","farouj","","cock"
"ghzala","","","","gazelle"
"nmr","nmer","nmar","","tiger"
"Db3","Dbe3","Dbaa","Dba3","hyena"
"7out","hout","houte","","fish"
"nmla","nemla","","","ant"
"fkroun","fekroun","fakroun","","turtle"
"brbouch","beboch","babbouch","berbouch","snail"
"bghl","bghel","bghal","","mule"
"3awd","aawd","3aoud","","horse"
"khrouf","5rouf","5rof","khrof","sheep"
"7awli","hawli","hewli","7ouli","sheep"
"n3ja","ne3ja","na3ja","","sheep"
"m3za","ma3za","me3za","maaza","goat"
"timsa7","timsah","","","crocodile"
"fil","fyl","","","elephant"
"3jl","3jel","3jal","aajel","beef"
"dib","dyb","","","wolf"
"7llouf","7allouf","hallouf","hellouf","pig"
"9rd","9ard","qard","9erd","monkey"
"Tobba","","","","rat"
"jml","jmal","jmel","","camel"
"dlfin","delfin","dalfine","","dolphin"
"moka","mouka","","","owl"
"t3lb","the3leb","ta3lab","te3leb","fox"
"bgra","bagra","begra","","cow"
"dobb","dob","","","bear"
"9niwna","9nia","qnia","","rabbit"
"Twiyer","Twyer","Ter","Tir","bird"
"ti9lit","ti9lita","tiqlit","","lizard"
"babbagha","babbaghio","babaghyo","","parrot"
"far","","","","mouse"
"bTTa","baTTa","beTTa","","duck"
"crevit","","","","shrimps"
"bibi","","","","turkey"
"n7la","na7la","ne7la","","bee"
"ghrab","ghorab","","","crow"
"7mama","hmama","","","pigeon"
"bllarj","bellarj","belarj","belarj","stork"
"n3ama","naama","","","ostrich"
"gnfoud","ganfoud","","","hedgehog"
"khffach","khoffach","5ofach","5offach","bat"
"jrana","","","","frog"
"sinjab","","","","squirrel"
"7nch","7ench","7anch","hench","snake"
"okhToboT","","","","octopus"
"9irch","qirch","","","shark"
"nsr","nser","","","eagle"
"biTri9","biTriq","","","penguin"
"faracha","","","","butterfly"
"rtila","","","","spider"
"3grba","aagrba","3garba","","scorpion"
"namousa","namosa","","","mosquito"
"dbbana","debana","dbana","","fly"
"dbban","deban","dban","","flies"
"jrada","","","","grasshopper"
"jrada","","","","grasshoppers"
"douda","","","","worm"
"doud","","","","worms"
"7ayawan","hayawan","","","animal"
"7achara","hachara","","","insect"
"7acharat","hacharat","","","insects"
"7ayawanat","hayawanat","","","animals"
"3oSfor","","","","bird"
"tour","thour","thor","tor","bull"
"samaka","","","","fish"
"daynaSour","daynaSor","","","dinosaur"
"bobris","boubris","bobriss","boubriss","lizard"
"9ondos","","","","beaver"
"b8ima","bhima","","","cattle"
"wzza","wezza","","","goose"
"Taws","Taawous","Tawous","","peafowl"
"srdin","","","","sardine"
"smTa","semTa","samTa","","eel"
"fo9ma","foqma","","","seal"
"srra9zzit","srra9 zzit","srra9 zit","","cockroach"
"boj3ran","bouj3ran","","","cockroach"
"gml","gmel","gmal","","louses"
"mn9ar","man9ar","men9ar","manqar","beak"
"jna7","jnah","","","wing"
"richa","rycha","","","feather"
"ghoul","ghol","","","beast"
"faras nna8r","faras nnahr","","","hippopotamus"
"wa7id l9arn","wahid l9arn","wahid lqarn","","rhinoceros"
"7imar wa7chi","7imar w7chi","","","zebra"
"ghzala","","","","deer"
"fa8d","fahd","fehd","","leopard"
