"n1","n2","n3","n4","eng"
"mousi9a","musiqa","mosi9a","","music"
"rasm","","","","painting"
"kamanja","","","","violin"
"3oud","","","","oud"
"chTi7","chTih","","","dance"
"ghna","ghona","","","singing"
"chi3r","","","","poetry"
"fenn","fann","fnn","","art"
"msr7","masra7","masrah","mesre7","theater"
"tSfi9","taSfi9","","","applause"
"tSwira","tSwera","taSwira","","photo"
"ta9afa","taqafa","","","culture"
"chita","","","","brush"
"khayal","5ayal","","","imagination"
"DDo","Daw2","","","light"
"ibda3","ibdaa3","","","creativity"
"jamal","jamaal","","","beauty"
"raw3a","","","","magnificence"
"chaa3ir","cha3ir","","","poet"
"kaatib","katib","","","writer"
"riwa2i","riwaa2i","","","novelist"
"mokhrij","mo5rij","","","film director"
"momttil","momtil","","","actor"
"mo2llif","mo2allif","mo2lif","","author"
"8ndasa","8andasa","","","engineering"
"rasm","","","","drawing"
"n7t","na7t","ne7t","","sculpture"
"mt7f","mot7af","","","museum"
"Tbl","Tbel","Tbal","","drum"
"piano","","","","piano"
"guitar","gitar","","","guitar"
"nghma","neghma","naghma","","tone"
"osloub","oslob","","","style"
"ofo9i","ofoqi","","","horizontal"
"3amoudi","3amodi","","","vertical"
"chm3a","cham3a","chem3a","","candle"
"nsijam","insijam","","","harmony"
"tze3zi3","tza3zi3","tz3zi3","","vibration"
"i9a3","iy9a3","iqa3","","rhythm"
"t2tir","ta2tir","ta2thir","te2tir","impression"
"t2Tir","ta2Tir","te2Tir","","supervising"
"tSmim","taSmim","","","design"
"t3bir","te3bir","ta3bir","taabir","expression"
"ti9nia","tiqnia","","","technique"
"tikrar","","","","repetition"
"m3awda","","","","repetition"
"tamatoul","tamatol","tamathoul","","symmetry"
"bou3d","bo3d","","","dimension"
"bo3d","","","","remote"
"masafa","massafa","","","distance"
"gnTra","ganTra","guenTra","","bridge"
"khTT","khaTT","kheTT","","line"
"morbba3","morba3","morbba3","","square"
"dwwara","da2ira","","","circle"
"motllat","motlat","","","triangle"
"mostaTil","","","","rectangle"
"n9Ta","no9Ta","","","point"
"Sout","Saout","","","voice"
"zwin","zwen","","","beautiful"
"zin","","","","beauty"
"khayal","5ayal","","","fiction"
"chacha","chaacha","","","screen"
"koumidia","koumidya","comedia","komidia","comedy"
"taarikhi","tarikhi","tari5i","taari5i","historical"
"Sout","Sawt","Saout","Sot","sound"
"adat","adaat","","","instrument"
"m3riD","ma3riD","","","exhibition"
"mi8rajan","mihrajan","","","festival"
"makiaj","makyaj","","","makeup"
"baTal","","","","hero"
"ch3bi","che3bi","cha3bi","","popular"
"riwaya","","","","novel"
"moslsal","mosellsal","mouselsal","","series"
"9anat","qanat","9anaat","","channel"
"ich8ar","","","","advertisement"
"moghnni","moghenni","moghanni","","singer"
"fr9a","fer9a","","","band"
"jou9","jo9","","","choir"
"kasiTa","","","","tape"
"9anoun","9anon","9aanon","","qanun"
