"n1","n2","n3","n4","eng"
"7wayj","7wayej","7wayaj","hwayej","clothes"
"khatm","5atm","khatem","","ring"
"9amija","qamija","","","shirt"
"srwal","serwal","sarwal","","pants"
"kaskita","","","","cap"
"sbbat","sebbat","","","shoe"
"t9achr","t9acher","tqacher","","socks"
"chort","short","","","shorts"
"kbbot","kabbot","kebbot","","coat"
"grafaTa","","","","tie"
"Trbouch","Tarbouch","Terbouch","Tarboch","hat"
"tjakiTa","jakiTa","jakiT","","jacket"
"Saya","","","","skirt"
"slip","","","","underpants"
"chal","","","","scarf"
"djin","","","","jeans"
"kswa","kaswa","keswa","","dress"
"kostim","koustim","","","suit"
"pijama","pyjama","","","pajamas"
"likouch","likoch","","","diapers"
"ligat","","","","gloves"
"smTa","samTa","semTa","","belt"
"SDfa","SaDfa","SeDfa","","button"
"jib","jayb","","","pocket"
"Twang","Twaneg","Twanag","","earring"
"snsla","sensla","selsla","slsla","necklace"
"gormiT","gourmiT","gourmeT","","bracelet"
"bsTam","bzTam","besTam","bezTam","wallet"
"mDll","mDall","mDell","mDalla","umbrella"
"Tagia","Taguia","Tagyya","Taguyya","skullcap"
"touni","toni","","","football shirt"
"jellaba","jllaba","","",""
"blgha","belgha","","",""
