"n1","n2","n3","n4","eng"
"loun","lawn","laoun","lwn","color"
"7mr","7mer",,,"red"
"khdr","5dr","khdar","khder","green"
"zr9","zra9","zre9","zraq","blue"
"byed","byad",,,"white"
"k7l","k7al","k7el",,"black"
"limouni",,,,"orange"
"gri",,,,"grey"
"9hwi","9ahwi","qahwi","9ehwi","brown"
"bonni",,,,"brown"
"fanidi",,,,"pink"
"wardi","werdi","ouardi",,"pink"
"banafsaji","9ou9i",,,"purple"
"Sfr","Sfar","Sfer",,"yellow"
"maro","lmaro",,,"maroon"
"bij","beige","baaj",,"beige"
"d8bi","de8bi","dehbi","Dhabi","gold"
"khzzi","khezzi","khassi",,"army green"
"mghlou9","maghlou9","maghlouq","meglou9","dark"
"mftou7","meftou7","maftouh","maftou7","light"
