"n1","n2","n3","n4","eng"
"flous","flouss","","","money"
"l3a9a","ll3a9a","ll3aqa","","money"
"stitmar","istitmar","","","investment"
"raslmal","ras lmal","","","capital"
"ttaman","taman","","","price"
"Talab","","","","demand"
"kra","lkra","","","rent"
"salaf","","","","loan"
"9rD","9arD","9erD","","loan"
"kridi","","","","credit"
"9tiSad","9tissad","","","economy"
"byya3","beyya3","beya3","bya3","seller"
"chrray","chray","","","buyer"
"lbi3","","","","selling"
"chchra","","","","bying"
"sou9","souq","souk","","market"
"charika","","","","company"
"dr8m","drhm","der8am","dirham","dirham"
"jma3a","","","","group"
"tti7ad","iti7ad","itihad","ittihad","union"
"7tikar","htikar","","","monopoly"
"7tiyaT","i7tiaT","ihtiaT","","reserve"
"khdma","khedma","khadma","5adma","job"
"3omla","3oumla","","","currency"
"rrb7","rrba7","","","profit"
"kriz","criz","","","crisis"
"stachr","istachar","","","consult"
"sti9rar","isti9rar","stiqrar","","stability"
"sti8lak","stihlak","istihlak","isti8lak","consumption"
"iSla7","","","","reform"
"sa2i7","saih","ra2ih","sai7","tourist"
"biznis","","","","business"
"tijara","ttijara","","","commerce"
"fayit","fayyit","","","bankruptcy"
"dawli","daouli","","","international"
"3alami","aalami","","","international"
"D3if","Da3if","","","weak"
"fa9ir","","","","poor"
"prodwi","","","","product"
"mntouj","mentouj","mantouj","","product"
"brnamaj","barnamaj","bernamaj","","program"
"banka","","","","bank"
"borSa","bourSa","","","stock exchange"
"lasorans","lassourans","lasourans","","insurance"
"tkhzin","takhzin","tekhzine","","storage"
"tkhTiT","takhTiT","tekhTiT","ta5TiT","planning"
"lma3icha","","","","cost of living"
"Dariba","","","","tax"
"moka","mouka","","","money"
"srbis","serbis","serbiss","","service"
"blan","blane","","","plan"
"da3m","dda3m","","","support"
"ch8ria","cha8ria","chahria","chehria","salary"
"bznas","beznas","","","drug dealer"
"mo9awala","moqawala","","","enterprise"
"faktoura","","","","bill"
"mizania","","","","budget"
"Sina3a","Sinaa3a","","","industry"
"zira3a","ziraa3a","","","agriculture"
"SSayd","SSeyd","","","fishing"
"l9iTa3 lkhaS","","","","private sector"
"l9iTa3 l3amm","","","","public sector"
"tmwil","tamwil","tmouil","temwil","funding"
"3amal","","","","work"
"sti9ala","isti9ala","sti9aala","","resignation"
"ta9a3od","ta9aa3od","","","retirement"
"mdkhoul","medkhoul","mad5oul","med5ol","income"
"mchro3","machrou3","mchrou3","mechrou3","project"
"tterwa","ttrwa","ttarwa","","wealth"
"Talab","","","","application"
"mblagh","meblegh","mblegh","mablagh","amount"
"soyoula","soyola","souyoula","","liquidity"
"iflass","","","","bankruptcy"
"rob3","rbe3","rb3","","quarter"
"sanadat","","","","bonds"
"ashom","","","","shares"
"lwert","lwart","lwrt","","inheritance"
"7anout","","","","shop"
"ma7al","","","","shop"
"sel3a","sl3a","","","products"
"clian","klian","","","client"
"siya7a","","","","tourism"
"stawred","stewred","stawrd","stwrd","import"
"Sader","Seder","Sadar","Sdr","export"
