"n1","n2","n3","n4","eng"
"oustad","ostad","","","teacher"
"tlmid","tilmid","","","student"
"moudir","modir","","","director"
"3amid","aamid","","","dean"
"sbbora","sabbora","sbora","","blackboard"
"Tabachir","","","","chalk"
"fizik","lfizik","","","physics"
"tarikh","","","","history"
"ryaDiat","riaDiat","","","math"
"ryaDa","riaDa","","","sport"
"joghrafia","","","","geography"
"drs","ders","dars","","course"
"mti7an","imti7an","mtihan","mti7ane","exam"
"ktab","kitab","","","book"
"dftar","deftar","daftar","","notebook"
"btida2i","","","","elementary"
"t3lim","ta3lim","","","education"
"mdrasa","medrasa","madrassa","medrassa","school"
"9ism","qism","","","class"
"lafak","lafac","la fac","lkollia","faculty"
"i3dadi","","","","middle school"
"tanawi","tanaoui","","","high school"
"jami3a","ljami3a","","","university"
"diplom","diplome","","","diploma"
"idara","lidara","","","administration"
"Tawila","","","","bench"
"flsafa","falsafa","felsafa","","philosophy"
"mawad","","","","subjects"
"3ilm","","","","science"
"logha","lougha","","","language"
"adab","","","","literature"
"3oloum","3ouloum","3olom","","sciences"
"ktba","kitaba","ktaba","","writing"
"jabr","","","","algebra"
"8ndasa","handasa","8andasa","hndasa","geometry"
"l7sab","7sab","hsab","","computing"
"chimi","","","","chemistry"
"stilo","stylo","","","pen"
"misTara","","","","ruler"
"chkara","","","","bag"
"9alam","qalam","","","pencil"
"mim7at","mimhat","","","eraser"
"3oTla","","","","holiday"
"ta9afa","taqafa","","","culture"
"7iSSa","7iSa","hiSSa","","session"
"Sf7a","Saf7a","Sef7a","","page"
"wr9a","wer9a","war9a","warqa","paper"
"b7t","ba7t","be7t","","research"
"sou2al","soual","ce2al","sa2al","question"
"jawab","","","","answer"
"fikra","","","","idea"
"7sab","7ssab","","","count"
"Tol","Toul","","","length"
"3rD","3arD","3erD","","width"
"rtifa3","irtifa3","","","hight"
"3lo","3low","","","hight"
"moDo3","mowDo3","mawDou3","mowDou3","topic"
"da2ira","dwwara","","","circle"
"7rf","7arf","7erf","","letter"
"klma","kalma","kelma","","word"
"jomla","joumla","","","phrase"
"faSila","","","","comma"
"tjriba","tajriba","tejriba","","experience"
"kotla","","","","mass"
"7ajm","","","","volume"
"khaTa2","5aTa2","","","wrong"
"Sa7i7","Sahih","","","right"
"m9S","m9aSS","m9eSS","m9as","scissors"
"rawD","raouD","","","kindergarten"
"takhSSoS","ta5SSoS","takhaSSoS","ta5aSSoS","specialization"
"ni9ach","niqach","","","discussion"
"t7lil","te7lil","ta7lil","tahlil","analysis"
"tmrin","tamrin","temrin","","exercise"
"min7a","minha","","","scholarship"
"ghyab","ghiab","","","absence"
"7oDor","7oDour","hoDour","","presence"
"za2id","","","","plus"
"na9iS","naqis","","","minus"
"mDroub","","","","times"
"m9soum","me9soum","m9som","ma9soum","divided"
"mo3adala","","","","equation"
"kasr","","","","fraction"
"chakl","","","","shape"
"zawyya","zawia","zawya","","angle"
"Tibb","","","","medicine"
"7aDana","","","","nursery school"
"ddirasat l3olya","ddirasat l3olia","","","higher education"
"ma38ad","me38ed","ma3had","m3hed","institute"
"bac","lbac","","","baccalaureate"
"ma9al","ma9aal","","","essay"
"ma9al","ma9aal","","","article"
