"n1","n2","n3","n4","eng"
"9ala9","t9li9a","qalaq","","worry"
"tbrziT","tberziT","tbarziT","","annoyance"
"ghaDab","","","","anger"
"nachaT","nachaaT","","","amusement"
"9oboul","9obol","qoboul","","acceptance"
"chaja3a","chajaa3a","","","courage"
"ti9a","tti9a","","","confidence"
"malal","","","","boredom"
"lamobalat","","","","apathy"
"fDoul","fDol","","","curiosity"
"ka2aaba","ka2aba","","","depression"
"rghba","raghba",reghba"","","desire"
"tay3yef","","","","disgusting"
"chek","chakk","","","doubt"
"nchwa","nechwa","nachwa","","ecstasy"
"i7raj","","","","embarrassment"
"2ymane","imane","","","faith"
"khouf","5ouf","khaouf","5aouf","fear"
"i7baaT","","","","frustration"
"ta3aTof","","","","empathy"
"chokr","","","","gratitude"
"Tm3","Tama3","Tam3","Tma3","greed"
"dnb","denb","danb","","guilt"
"7amas","hamas","","","enthusiasm"
"sa3ada","saaada","","","happiness"
"karahia","kara8ia","kor8","korh","hatred"
"7asad","hasad","","","envy"
"ch8wa","cha8wa","che8wa","chahwa","lust"
"7obb","hobb","houb","7oub","love"
"wa7da","","","","loneliness"
"Drafat","","","","kindness"
"fara7","farah","","","joy"
"ghira","ghyra","ghayra","","jealousy"
"dell","ddell","","","humiliation"
"ro3b","","","","horror"
"amal","","","","hope"
"nnadam","","","","remorse"
"RRafD","RafD","","","rejection"
"nnadam","","","","regret"
"ghaDab","","","","rage"
"fakhr","fa5r","","","pride"
"chafa9a","chafaqa","","","pity"
"chaghaf","","","","passion"
"7anin","hanin","","","nostalgia"
"7chma","7echma","7achma","hachma","shyness"
"Sdma","Sadma","Sedma","","shock"
"3ar","3aar","","","shame"
"7ozn","hozn","7ouzn","houzn","sadness"
"mo3anat","mo3aanaat","","","suffering"
"mofaja2a","","","","surprise"
"khl3a","khel3a","khal3a","5al3a","fear"
"wswas","waswass","waswas","","obsession"
"f9sa","fa9sa","fe9sa","faqsa","grief"
"Tomou7","Tomo7","","","ambition"
"i7sas","ihsas","","","feeling"
"cho3our","cho3or","","","feeling"
"3aTifa","3aaTifa","","","emotion"
