"n1","n2","n3","n4","eng"
"8awa2","8wa","8awa","","air"
"b7er","b7r","bhar","b7ar","sea"
"arD","","","","earth"
"wad","ouad","","","river"
"chjra","chajra","chejra","","tree"
"baTo","","","","ship"
"talwwot","talwot","talwwout","","pollution"
"ma2","ma","lma","","water"
"gLaS","","","","ice"
"tlj","telj","talj","","snow"
"Tri9","Triq","","","street"
"Dbab","Dbaba","","","cloud"
"ghaba","","","","forest"
"jrda","jarda","jerda","","parc"
"choro9","chorou9","chorouq","","sunrise"
"ghorob","ghoroub","","","sunset"
"chmch","chamch","chemch","","sun"
"9amar","l9amar","qamar","","moon"
"mrrikh","marrikh","mari5","","mars"
"sma","ssma","","","sky"
"jbl","jbel","jbal","","mountain"
"chta","","","","rain"
"rr3Da","r3Da","ra3Da","","thunder"
"lberd","brd","berd","lbard","cold"
"ri7","ry7","rih","rri7","wind"
"S8D","Sa8D","Se8D","SahD","heat"
"ti9i9t","ti99i9t","","","extreme heat"
"chtwa","chetwa","chatwa","","winter"
"SSif","SSef","","","summer"
"lkhrif","khrif","5rif","","autumn"
"rrbi3","rbi3","","","spring"
"ljow","ljaw","ljw","","climate"
"zlal","znzal","zelzal","zalzal","earthquake"
"borkan","borkane","","","volcano"
"fayaDan","","","","flood"
"joghrafia","joghrafya","","","geography"
"T9s","Ta9s","","","weather"
"mDbbeb","mDabbab","mDebbab","mDebbeb","foggy"
"skhoun","skhon","s5on","s5oun","hot"
"mchmmch","mchmmech","mchemmach","mchammach","sunny"
"m3j3j","m3ej3ej","m3aj3aj","","windy"
"khcheb","5kheb","khchab","khchb","wood"
"7did","hdid","7adid","","iron"
"jaj","jjaj","","","glass"
"aliminiom","aliminyom","","","aluminum"
"n7as","","","","copper"
"7jr","7jer","hjar","","stone"
"Sofa","SSofa","","","wool"
"9Ten","","","","cotton"
"d8b","d8eb","dhab","dheb","gold"
"jld","jeld","jild","","leather"
"nnilo","nilou","nilo","","nylon"
"rmla","remla","ramla","rremla","sand"
"fDDa","faDDa","","","silver"
"3afia","","","","fire"
"njma","nejma","najma","","star"
"mouja","mawja","mowja","mwja","wave"
"khla","5la","","","wild"
"7afa","7aafa","hafa","","edge"
"bo7ayra","bohayra","bo7aira","","lake"
"trab","","","","soil"
"Tabi3a","","","","nature"
"S7ra","Sahra","Sa7ra","","desert"
"chllal","chellal","challal","","waterfall"
"ghar","ghaar","","","cave"
"wa7a","waa7a","","","oasis"
"rmad","rmaad","ramaad","","ash"
"ghis","ghiss","","","mud"
"roTouba","roToba","","","humidity"
"i3Sar","i3Saar","","","hurricane"
"kawn","","","","universe"
