"n1","n2","n3","n4","eng"
"khDra","khoDra","5oDra","","vegetables"
"bsla","basla","besla","","onion"
"maticha","matecha","","","tomato"
"jelbana","jlbana","","","pea"
"dnjal","denjal","","","eggplant"
"gar3a","gr3a","","","pumpkin"
"mkowwr","mkowwer","mkowwar","","cabbage"
"btata","batata","","","potato"
"khyar","khiar","5iar","5yar","cucumber"
"khizo","5izo","","","carrot"
"touma","ttouma","","","garlic"
"chiflour","chiflor","","","cauliflower"
"9o9","9ou9","qoq","qouq","artichokes"
"khrchouf","kherchouf","kharchof","khrchof","cardoon"
"flfla","felfla","falfla","","pepper"
"fjl","fjel","","","radishes"
"loubia","lobia","loubya","","beans"
"bsbas","besbas","basbas","","fennel"
"khoss","khos","5oss","5os","lettuce"
"lft","left","laft","","turnip"
"kbal","","","","maize"
"9zbour","9azbour","9ezbor","9zbor","coriander"
"m3dnous","m3adnous","m3ednous","me3dnous","parsley"
"zitoun","zitoune","","","olives"
"barba","","","","beet"
"krafS","krafes","krafas","","celery"
"kourjiT","korjiT","","","courgette"
"khDra","khoDra","","","vegetables"
"dissir","ddissir","ddisser","disser","fruits"
"tfa7","tfah","","","apple"
"bou3ouid","bou3wid","bouaouid","","pear"
"friz","frez","","","strawberry"
"avoka","avoca","lavoka","","avocado"
"3nb","3anb","3enb","","grape"
"krmous","karmous","kermous","","fig"
"limoun","limon","","","orange"
"7amd","hamd","","","lemon"
"rman","rmman","reman","","pomegranate"
"dla7","dela7","dlah","delah","watermelon"
"khoukh","","","","peach"
"kiwi","kioui","","","kiwi"
"7blmlouk","7eb lemlouk","hab lamlouk","heb lemlouk","cherry"
"ananas","","","","pineapple"
"mnoun","","","","melon"
"swi8la","swihla","souihla","","melon"
"banan","banane","","","banana"
"mchmach","mechmach","machmach","","apricot"
"mang","mangue","","","mango"
"mandarine","mandarin","","","mandarin orange"
"tmr","tmar","tmer","","dates"
"br9o9","ber9o9","br9ou9","ber9ou9","plums"
"makla","lmakla","","","food"
"3ds","l3ds","","","lenses"
"loubia","","","","beans"
"nbg","nbag","nbeg","nnbeg","jujube"
"blloT","balloT","","","oak"
"llouz","louz","","","almonds"
"n3na3","naanaa","ne3na3","na3na3","mint"
"zbib","zzbib","","","raisins"
"biD","bayD","","","eggs"
"biDa","bayDa","","","egg"
"zbda","zabda","zebda","","butter"
"khbz","khobz","5obz","","bread"
"mska","maska","meska","","chewing gum"
"skkar","sokkar","skar","sokar","sugar"
"ml7a","mel7a","mal7a","malha","salt"
"zit","zzit","","","oil"
"7mmS","7ammaS","7mmeS","hammeS","chickpeas"
"7rira","hrira","","","soup"
"chlaDa","","","","salad"
"l7m","l7em","l7am","","meat"
"khmira","5mira","","","yeast"
"3jina","","","","dough"
"frmaj","fromaj","formaj","","cheese"
"ch3ria","che3ria","cha3ria","","pasta"
"disir","dicir","dissir","","desserts"
"laglas","laglass","","","ice cream"
"kika","","","","cake"
"3Tria","3aTria","3Trya","3eTria","spices"
"gm7","gam7","guem7","9m7","wheat"
"dgig","d9i9","","","flour"
"ch3ir","","","","barley"
"9rfa","9arfa","9erfa","qarfa","cinnamon"
"kmmon","kmmoun","kammoun","kemmon","cumin"
"9ronfl","9ronfel","9ronfal","","cloves"
"z3fran","z3efran","z3afran","","saffron"
"z3tr","ze3tr","za3ter","z3tar","thyme"
"chrab","","","","drink"
"chchrab","","","","alcohol"
"birra","","","","beer"
"atay","","","","tea"
"7lib","7alib","hlib","","milk"
"3aSir","","","","juice"
"fTor","fTour","","","breakfast"
"ghda","","","","lunch"
"3cha","","","","dinner"
"ma9adir","maqadir","","","ingredients"
"jo3","jou3","","","hunger"
"3Tch","3Tech","3Tach","","thirst"
"rijim","","","","diet"
"cha8ia","cha8iyya","chahia","","appetite"
"mchwi","mechwi","machwi","","grilled"
"m9li","me9li","ma9li","","fried"
"m7mmr","m7ammar","m7emmer","","roasted"
"mgrml","mgermel","mgarmel","mgarmal","crunchy"
"khDr","khDer","khDar","5Dr","raw"
"bnin","bnyn","","","delicious"
"nachf","nachef","nachaf","","dry"
"7lo","7lou","7low","","sweet"
"7arr","","","","spicy"
"marr","morr","","","bitter"
"7amD","7ameD","7amaD","","sour"
"m7roug","m7rog","m7rog","m7ro9","burned"
"lkhell","khell","5ell","","vinegar"
"bTaTa frit","bTaTafrit","","","french fries"
"s99aTa","","","","candy"
"Tajin","Tagine","","",""
"Tanjia","Tnjia","Tnjyya","Tanjyya",""
"bsTila","besTila","basTila","",""
"m7nncha","m7enncha","m7anncha","",""
