"n1","n2","n3","n4","eng"
"rrwa7","","","","influenza"
"skkar","","","","diabetes"
"Sda3","","","","ache"
"7asasia","hassasia","7assasia","","allergy"
"DDi9a","DDe9a","","","asthma"
"tanffous","tanffos","tanaffos","","breathing"
"S7i7","","","","healthy"
"mriD","","","","ill"
"Tibb","","","","medicine"
"sbiTar","","","","hospital"
"labilanS","","","","ambulance"
"maraD","","","","disease"
"konSir","","","","cancer"
"taw77oud","taw77od","","","autism"
"bouchwika","bochwika","","","varicella"
"ara9","","","","insomnia"
"ss8al","","","","diarrhea"
"SriSra","","","","diarrhea"
"jr7a","jr7","jer7a","jar7a","wound"
"t9ya","te9ya","t9ia","","vomit"
"dwa","ddwa","","","medication"
"ghrza","ghorza","gherza","","stitch"
"3kkaz","3okkaz","","","crutch"
"bnj","benj","lbnj","lbenj","anesthetic"
"tchri7","tachri7","","","autopsy"
"S77a","Si77a","Sa77a","","health"
"alam","2alam","","","pain"
"3Tsa","3eTsa","3aTsa","","sneeze"
"k7ba","ka7ba","ke7ba","","cough"
"khalia","khaliya","5alia","5alyya","cell"
"maraD mozmin","","","","chronic disease"
"maraD mo3di","","","","contagious disease"
"gzima","lgzima","","","eczema"
"SSr3","SSara3","","","epilepsy"
"Ta3oun","Ta3on","","","plague"
"romatizm","rromatizm","roumatizm","rroumatizm","rheumatism"
"l7la9m","7la9m","7la9em","l7la9em","tonsils"
"skhana","s5ana","sskhana","","fever"
"7kka","7ekka","","","itching"
"chalal","","","","paralysis"
"gui7","gi7","","","pus"
"lti8ab","ilti8ab","ltihab","","inflammation"
"lbbaser","lbbasr","","","piles"
"l9ebT","l9bT","","","constipation"
"boul","","","","urine"
"lgholD","gholD","lghlD","","obesity"
"7ma9","l7ma9","","","insanity"
"ij8aD","ijhaD","","","abortion"
"jjdam","","","","leprosy"
"7bb chchbab","7ebb chbab","7ebb chchbab","7bbchbab","acne"
