"n1","n2","n3","n4","eng"
"insan","","","","human"
"bnadm","bnadem","","","human"
"rjl","rjel","","","foot"
"yedd","yed","idd","","hand"
"3in","3ain","3ayn","","eye"
"nif","","","","nose"
"mnaker","menkher","mnkhr","men5ar","nose"
"fom","fomm","fmm","","mouth"
"dmagh","","","","brain"
"kbda","kebda","","","liver"
"riyya","ria","riya","rya","lung"
"klwa","kalwa","kelwa","","kidney"
"m3da","me3da","ma3da","","stomach"
"3Dm","3Dam","","","bone"
"mSarn","mSaren","mSaran","","intestine"
"9lb","9alb","9elb","qalb","heart"
"wdn","oden","wden","wdan","ear"
"ras","","","","head"
"jasad","jassad","","","body"
"3oDw","","","","organ"
"jld","jelda","jeld","","skin"
"jmjoma","jomjoma","jmjouma","","skull"
"ch3r","ch3er","ch3ar","","hair"
"mostach","","","","mustache"
"l7ya","le7ya","la7ya","","beard"
"wjh","wjeh","wjah","","face"
"7ajb","hajb","","","eyebrow"
"dfal","ddfal","","","saliva"
"chwarb","chouarb","chwareb","","lips"
"lsan","lisan","lissan","","tongue"
"snna","senna","","","tooth"
"3ng","3ong","3eng","3on9","neck"
"9rjoTa","9arjoTa","","","throat"
"ktf","ktef","ktaf","","shoulder"
"Sdr","Sdar","Sder","","chest"
"dra3","","","","arm"
"7nk","7ank","7enk","","cheek"
"jb8a","jab8a","jeb8a","jbha","forehead"
"rmouch","","","","eyelashes"
"7la9m","7la9em","hlaqem","","tonsils"
"baT","","","","armpit"
"mrf9","mrfg","marfa9","merfeg","elbow"
"Sb3","Sbe3","","","finger"
"Dfr","Dfer","","","fingernail"
"krch","kerch","karch","","abdomen"
"rjl","rjel","","","leg"
"fkhD","fkheD","","","thigh"
"rkba","rokba","","","knee"
"gdm","gdem","","","heel"
"D8r","D8ar","D8er","Dhar","back"
"Dl3a","Dal3a","Del3a","","rib"
"dm","dem","dam","","blood"
"3r9","3ar9","3er9","","vein"
"3aDala","","","","muscle"
"3amoud lfi9ari","3amoud fi9ari","3amod fi9ari","","backbone"
"chchouf","","","","sight"
"ssm3","ssem3","ssam3","","hearing"
"chchmm","chchemm","chchamm","","smell"
"ddou9","","","","taste"
"llms","llems","llams","","touch"
"tanffous","tanffos","tanaffos","","breathing"
"tgrr3","tgerre3","tgarra3","tgarre3","to burp"
"tfww8","tfawwa8","tfewwe8","tfawwe8","to yawn"
"chkhr","chkher","chkhar","","to snore"
"7sana","hsana","","","haircut"
"7ssn","7ssen","","","to shave"
"mchT","mcheT","mchaT","","to comb"
"wchm","wchem","wcham","ouchm","tattoo"
