"darija","eng"
"safi t8nna","do not worry"
"kon 8ani","do not worry"
"jwabo 3la nabo","quick-witted"
"hania","no worries"
"smen o 3sel","sweet"
"rdd lbal","watch out"
"kon 3la bal","watch out"
"bayna ll3wer","crystal clear"
"Darb chch3a","impressive"
"Tmmer",""turning a blind eye""
"myyek","turning a blind eye"
"ma3ndk fin t8reb","inevitable"
"mataymregch","unashamed"
"kayDrr f rras","controversial"
"sir waji","back and forth"
"3llah","randomly"
"charb bloulou","mature"
"kayna lm3na","worthwhile"
"labas 3lih","wealthy"
"fiha inna","suspicious"
"Tal3a lih l9rda","furious"
"S77a w slam","safe and sound"
"howa howa","unchanged"
"hir 3llah","arbitrary"
"fog chchb3a","superfluous"
"3ndo fiddih","talented"
"zaz louz","nice-looking"
"aji","hey"
"chchan TTan","quickly"
"bi8 fi8","quickly"
"blkheff","quickly"
"Lah i3mmerha dar","courteous"
"7bb o tben","the whole ball of wax"
"walaw Tart m3za","when pigs fly"
"kay9r9bo nnab","chew the rag"
"9r9b nnab","chew the fat"
"Tal9ha","he is lying"
"rbeT sslogyya","stop lying"
