"english","specific1_darija","specific2_darija","general_darija","darija_ar"
"kit_fox","","ta3leb","t3leb","تعلب "
"English_setter","","","kelb","كلب "
"Siberian_husky","husky dial siberia","","kelb","كلب "
"Australian_terrier","","","kelb","كلب "
"English_springer","","","kelb","كلب "
"grey_whale","","","baleine","بالين "
"lesser_panda","","","panda","پاندا "
"Egyptian_cat","","mech","mch","مش "
"ibex","","","jdi","جدي "
"Persian_cat","","mech","mch","مش "
"cougar","fahd","","fahd","فهد"
"gazelle","ghzala","","ghzala","غزالة"
"porcupine","","","guenfoud","ڭنفود"
"sea_lion","fo9ma","","fo9ma","فقمة"
"malamute","","","kelb","كلب "
"badger","lghorrayr","","sinjab","سنجاب "
"Great_Dane","","","kelb","كلب "
"Walker_hound","","","kelb","كلب "
"Welsh_springer_spaniel","","","kelb","كلب "
"whippet","","","kelb","كلب "
"Scottish_deerhound","","","kelb","كلب "
"killer_whale","orca","","baleine","بالين "
"mink","nems","","nems","نمس "
"African_elephant","fil ifri9i","","fil","فيل "
"Weimaraner","","","kelb","كلب "
"soft-coated_wheaten_terrier","","","kelb","كلب "
"Dandie_Dinmont","","","kelb","كلب "
"red_wolf","dib 7mer","","dib","ديب "
"Old_English_sheepdog","","","kelb","كلب "
"jaguar","jaguar","","jaguar","جاڭوار "
"otterhound","","","kelb","كلب "
"bloodhound","","","kelb","كلب "
"Airedale","","","kelb","كلب "
"hyena","dbe3","dba3","Dbe3","ضبع"
"meerkat","","","nems","نمس "
"giant_schnauzer","","","kelb","كلب "
"titi","","","9erd","قرد "
"three-toed_sloth","lkaslan","lkeslan","","الكسلان"
"sorrel","","","lkhbiza","لخبيزة"
"black-footed_ferret","","","nems","نمس "
"dalmatian","","","kelb","كلب "
"black-and-tan_coonhound","","","kelb","كلب "
"papillon","","","kelb","كلب "
"skunk","dariban","","","داريبان "
"Staffordshire_bullterrier","","","kelb","كلب "
"Mexican_hairless","","","kelb","كلب "
"Bouvier_des_Flandres","","","kelb","كلب "
"weasel","","","nems","نمس "
"miniature_poodle","","","kelb","كلب "
"Cardigan","","","sofa","تريكو ت الصوفا"
"malinois","","","kelb","كلب "
"bighorn","","","7awli","حاولي "
"fox_squirrel","","","sinjab","سنجاب"
"colobus","","","sinjab","سنجاب"
"tiger_cat","leopard","","leopard","مش "
"Lhasa","","","kelb","كلب "
"impala","","","ghzala","غزالة"
"coyote","","","dib","ديب "
"Yorkshire_terrier","","","kelb","كلب "
"Newfoundland","","","kelb","كلب "
"brown_bear","doub 9otbi","","doub","دب"
"red_fox","te3leb 7mer","","te3leb","تعلب "
"Norwegian_elkhound","","","kelb","كلب "
"Rottweiler","","","kelb","كلب "
"hartebeest","","","ghzala","غزالة"
"Saluki","slougui","","kelb","كلب "
"grey_fox","te3leb rmadi","te3leb gris","te3leb","تعلب "
"schipperke","","","kelb","كلب "
"Pekinese","","","kelb","كلب "
"Brabancon_griffon","","","kelb","كلب "
"West_Highland_white_terrier","","","kelb","كلب "
"Sealyham_terrier","","","kelb","كلب "
"guenon","","","9erd","قرد "
"mongoose","","","nems","نمس "
"indri","","","indri","إندري "
"tiger","nmer","","nmer","نمر "
"Irish_wolfhound","","","kelb","كلب "
"wild_boar","7ellouf dial lghaba","","7ellouf","حلّوف "
"EntleBucher","","","kelb","كلب "
"zebra","7imar wa7chi","","7imar wa7chi","حمار وحشي "
"ram","","kebch","7awli","حاولي "
"French_bulldog","","","kelb","كلب "
"orangutan","","","9erd","قرد "
"basenji","","","kelb","كلب "
"leopard","","","fehd","فهد "
"Bernese_mountain_dog","","","kelb","كلب "
"Maltese_dog","","","kelb","كلب "
"Norfolk_terrier","","","kelb","كلب "
"toy_terrier","","","kelb","كلب "
"vizsla","","","kelb","كلب "
"cairn","","","kelb","كلب "
"squirrel_monkey","","","9erd","قرد "
"groenendael","","","kelb","كلب "
"clumber","","","kelb","كلب "
"Siamese_cat","siamois","mch","mech","مش "
"chimpanzee","chimpanzi","","9erd","قرد "
"komondor","","","kelb","كلب "
"Afghan_hound","","","kelb","كلب "
"Japanese_spaniel","","","kelb","كلب "
"proboscis_monkey","","","9erd","قرد "
"guinea_pig","","","hamster","هامستر "
"white_wolf","dib byed","","dib","ديب "
"ice_bear","doub 9otbi","","doub","دب"
"gorilla","ghourilla","ghorilla","9erd","قرد "
"borzoi","","","kelb","كلب "
"toy_poodle","","","kelb","كلب "
"Kerry_blue_terrier","","","kelb","كلب "
"ox","","","tour","تور "
"Scotch_terrier","","","kelb","كلب "
"Tibetan_mastiff","","","kelb","كلب "
"spider_monkey","","","9erd","قرد "
"Doberman","Doberman","","kelb","كلب "
"Boston_bull","","","kelb","كلب "
"Greater_Swiss_Mountain_dog","","","kelb","كلب "
"Appenzeller","","","kelb","كلب "
"Shih-Tzu","","","kelb","كلب "
"Irish_water_spaniel","","","kelb","كلب "
"Pomeranian","","","kelb","كلب "
"Bedlington_terrier","","","kelb","كلب "
"warthog","","","7ellouf","حلّوف "
"Arabian_camel","","","jmel","جمل "
"siamang","","","9erd","قرد "
"miniature_schnauzer","","","kelb","كلب "
"collie","","","kelb","كلب "
"golden_retriever","","","kelb","كلب "
"Irish_terrier","","","kelb","كلب "
"affenpinscher","","","kelb","كلب "
