"masculine","feminine","masc_plural","fem_plural"
"ktab","","ktoba",""
"Sb3","","Sba3",""
"","3imara","","3imarat"
"kas","","kisan",""
"","9r3a","","9ra3i"
"","kaskita","","kaskitat"
"","Tbla","","Tbali"
"","chjra","chjer","chjrat"
"serwal","","srawel",""
"Sbbat","","SbabeT",""
"","t9chira","","t9achr"
"chort","","chortat",""
"","9amija","","9wamej"
"triko","","trikowat",""
"khatem","","khwatem",""
"","9ahwa","","9hawi"
"bit","","byot",""
"","partma","","partmat"
"","jmra","","jmrat"
"wld","bnt","wlad","bnat"
"mol","molat","malin",""
"ktichaf","","ktichafat",""
"sou9","","swa9",""
"","lila","","lilat"
"7arb","","7oroub",""
"9aSr","","9oSour",""
"ka8f","","ko8ouf",""
"","chams","","chomous"
"chaa8id","chaa8ida","cho8oud","chaa8idat"
"cha8iid","cha8iida","cho8ada2","cha8iidat"
"","Dariba","","Dara2ib"
"","7anout","","7wanet"
"","charika","","charikat"
"slip","","slipat",""
"","Tri9","","Tro9an"
"7iT","","7yoT",""
"jbl","","jbal",""
"9rd","9rda","9roda","9rdat"
"","tlfaza","","tlafz"
"Sba7","","Sba7at",""
"","3chia","","3chiat"
"","9rTaSa","","9rTaS"
"","n7la","n7l","n7lat"
"","klma","","klimat"
"","tsrfi9a","","tsrfi9at"
"","7mama","","7amamat"
"","w9fa","","w9fat"
"","khibra","","khibrat"
"7a99","","7o9o9",""
"","BoLa","","BoLat"
"khiT","","khyoT",""
"mario","","marioat",""
"","chkara","","chkayr"
"","f3la","f3ayl","f3lat"
"","m7na","","m7ayn"
"chiTan","","chayaTin",""
"","jrtouma","jaratim","jortomat"
"","9nia","","9niat"
"7mar","","7mir",""
"bghl","","bghal",""
"daynasour","","","daynasourat"
"7nch","","7nach",""
"9lb","","9louba",""
"","mdrasa","","madaris"
"","dar","","dyour"
"3am","","3wam",""
"","sana","","sinin"
"priz","","prizat",""
"chffar","chffara","chffara","chffarat"
"","3Sa","","3Syyat"
"k7l","k7la","k7lin","k7lat"
"khDr","khDra","khDrin","khDrat"
"film","","aflam",""
"l33ab","l33aba","l33aba","l33abat"
"3ilm","","3oloum",""
"ktf","","ktaf",""
"","idd","","iddin"
"sb3","","sbou3a",""
"","jarima","","jara2im"
"drri","drria","drari","drriat"
"","chkara","chkayr","chkarat"
"","fDi7a","","fDay7"
"","t9chira","","t9achr"
"tbSil","","tbaSl",""
"biro","","birowat",""
"stilo","","stilowat",""
"bimo","","bimowat",""
"","misTara","","misTarat"
"","minjara","","minjarat"
"","mimsa7a","","mimsa7at"
"","kora","","korat"
"","3ouma","","3oumat"
"","foTa","","foTat"
"","skka","","skkat"
"dayaSor","","daynaSorat",""
"tilifon","","tilifonat",""
"","smTa","","smaTi"
"","9chla","","9chali"
"rajl","mra","rjal","3yalat"
"","njma","njoum","njmat"
"","biDa","","biDat"
"","maadda","","mawadd"
"","snna","snan","snnat"
"","richa","rich","richat"
"","39lia","","39liat"
"","khl3a","","khl3at"
"","miSda9ia","","miSda9iat"
"","som3a","","som3at"
"","mzyya","","mzyyat"
"","rb7a","","rb7at"
"","kimmia","","kimmiat"
"fkh","","fkhakh",""
"tnsi9","","tnsi9at",""
"nachaaT","","anchiTa",""
"baTo","","baTowat",""
"","bidaya","","bidayat"
"","ni8aya","","ni8ayat"
"7tilaal","","7tilaalat",""
"sbiTar","","sbiTarat",""
"rib7","","arba7",""
"korsi","","krasa",""
"ma","","miman",""
"","tomobil","","tomobilat"
"moTor","","mmaTr",""
"mol","molat","mmalin",""
"","jrda","","jradi"
"","pikala","","pikalat"
"Tobis","","Tobisat",""
"chari3","","chawari3",""
"drb","","droba",""
"","7ouma","","7oumat"
"","drja","drouj","drjat"
"ferrouj","djaja","frarj","djajat"
