"n1","n2","n3","n4","eng"
"ra9m","raqm","","","number"
"3adad","","","","number"
"Sifr","","","","zero"
"ziro","zero","","","zero"
"wahd","wa7d","","","one"
"jouj","joj","","","two"
"tlata","","","","three"
"rb3a","reb3a","rab3a","","four"
"khmsa","5msa","khamsa","","five"
"stta","seta","","","six"
"sb3a","sab3a","seb3a","","seven"
"tmnia","tmenia","tmania","","eight"
"ts3oud","ts3od","tas3oud","tes3oud","nine"
"3chra","3achra","aachra","","ten"
"7Dach","","","","eleven"
"Tnach","","","","twelve"
"TlTTach","telTach","","","thirteen"
"rb3Tach","rba3Tach","rbe3Tach","","fourteen"
"khmsTach","5msTach","khamsTach","khemsTach","fifteen"
"sTTach","seTach","sTach","","sixteen"
"sb3Tach","sbe3Tach","sba3Tach","","seventeen"
"tmnTach","tmnTach","tmenTach","tmanTach","eighteen"
"ts3Tach","tsa3Tach","tse3Tach","","nineteen"
"3chrin","3achrin","3echrin","3ochrin","twenty"
"tlatin","","","","thirty"
"rb3in","rab3in","reb3in","","forty"
"khmsin","5amsin","khamsin","khemsin","fifty"
"stin","settin","sattin","","sixty"
"sb3in","seb3in","sab3in","","seventy"
"tmanin","tamanin","","","eighty"
"ts3in","tes3in","tas3in","","ninety"
"mia","mya","myya","","hundred"
"alf","","","","thousand"
"mlyon","melyoun","mlyoun","malyoun","million"
"mlyar","malyar","melyar","","billion"
"w","ou","o","","and"
"lwwl","lowwl","lowel","lowwel","first"
"ttani","","","","second"
"ttalt","","","","third"
"rrab3","rrabe3","","","fourth"
"lkhams","lkhames","","","fifth"
"ssads","ssades","","","sixth"
"ssab3","ssabe3","","","seventh"
"ttamn","ttamen","","","eighth"
"ttas3","ttase3","","","ninth"
"l3achr","l3acher","","","tenth"
"llkher","llkhar","lkher","akhir","last"
"ttolot","ttolout","","","one-third"
"rrobo3","rrobou3","","","one-fourth"
"lkhomos","lkhomous","","","one-fifth"
"ssodos","ssodous","","","one-sixth"
"ttomon","ttomoun","","","one-eighth"
"l3ochor","l3ochour","","","one-tenth"
