darija,eng,darija_ar
kanxrob fi dwa bla fayda,,كانشروب في دوا بلا فايدا
3rfti lhrira ta3 zra3 zwina,,عرفتي لهريرا تاع زراع زوينا
kadar lhrira bi matixa,,كادار لهريرا بي ماتيشا
jarbi txorbiha bohdha,,جاربي تشوربيها بوهدها
kathayd lhor9a,,كاتهايد لهورقا
tbib mabghitox,,تبيب مابغيتوش
nmxi 3ando,,نمشي عاندو
hxmt nsawl,,هشمت نساول
kina jwhara tma,,كينا جوهارا تما
mxit 3andha ma3tatnix w9t,,مشيت عاندها ماعتاتنيش وقت
hta 3 d9y9 makmlthax 3ndha,,هتا 3 دقيق ماكملتهاش عندها
3andha zham,,عاندها زهام
lmochkil makaynx lhal,,لموشكيل ماكاينش لحال
hta tbiba mazyana hna,,هتا تبيبا مازيانا هنا
fnafs lw9t katxad l5tr,,فنافس لوقت كاتشاد لختر
li ban lik dirih,,لي بان ليك ديريه
kol wahad ach taychof,,كول واهاد أش تايشوف
hadi fi xhar li fat,,هادي في شهار لي فات
4oli bax n3rf xhl,,4ولي باش نعرف شهل
ba9a 5asni nsbor,,باقا خاسني نسبور
rana wlit ghi kn3ta9,,رانا وليت غي كنعتاق
bzaz ta3 lmaxakil osf,,بزاز تاع لماشاكيل أُسف
kin wahd l9awm kijik m3a 4,,كين واهد لقاوم كيجيك معا 4
bhra ktbghi tn3s kibda ydo9,,بهرا كتبغي تنعس كيبدا يدوق
lharara kayna,,لهارارا كاينا
kina tamara bzaf,,كينا تامارا بزاف
z3ma la2ilaha ila lah,,زعما لاإلاها إلا الله
5ask tx9ay bazaz,,خاسك تشقاي بازاز
mat9dri hta tharki idk,,ماتقدري هتا تهاركي إدك
mojbara tnodi,,موجبارا تنودي
z3ma tkrfst hna,,زعما تكرفست هنا
ghi sbar osf,,غي سبار أُسف
lah yxafih oynawdo 3la 5ir,,الله يشافيه أُيناودو علا خير
tahaja mab9at m4awda,,تاحاجة مابقات م4اودا
akhti sobhan lah,,أختي سوبهان الله
lawham kayjiw m3ah ghi lkawarit,,لاوهام كايجيو معاه غي لكاواريت
chi machakil kn3ix bzaf,,شي ماشاكيل كنعيش بزاف
ah dakchi li kayan akhti,,أه داكشي لي كايان أختي
ghi da3ay m3ana,,غي داعاي معانا
lhala katxafi,,لهالا كاتشافي
mahna mahiti lhalti mahiti lrajli,,ماهنا ماهيتي لحالتي ماهيتي لراجلي
kanxof fih kidob,,كانشوف فيه كيدوب
mahiti lxi5i lmrid,,ماهيتي لشيخي لمريد
lmriid mhlok,,لمريّد مهلوك
khassek twa9fi darori,,خاسّك تواقفي داروري
nti l2amal lwahid,,نتي لأمال لواهيد
f lwahmi mat khallo,,ف لواهمي مات خالّو
dar makatakhwach 3andna,,دار ماكاتاخواش عاندنا
nti ki mdawza ramdan,,نتي كي مداوزا رامدان
had layam kin idrab,,هاد لايام كين إدراب
had lyomin nji,,هاد ليومين نجي
rah machi bhal darkom,,راه ماشي بهال داركوم
la3doza makataskotch 4atxki,,لاعدوزا ماكاتاسكوتش 4اتشكي
makatskotx mn labka,,ماكاتسكوتش من لابكا
wayh lah yjib xifa,,وايه الله يجيب شيفا
5als men 3ando,,خالس من عاندو
ama toba ghi ki9adro,,أما توبا غي كيقادرو
kola ki4ol 3la hsb 4anto,,كولا كي4ول علا هسب 4انتو
hadak b3da rah mat,,هاداك بعدا راه مات
hada ba9i hay,,هادا باقي هاي
kola nhr 4naza,,كولا نهر 4نازا
tabt bi lbka,,تابت بي لبكا
mab9itx 9ada,,مابقيتش قادا
knxof xi had kibki knhrb,,كنشوف شي هاد كيبكي كنهرب
zid 3liha nas,,زيد عليها ناس
dar makat5wax,,دار ماكاتخواش
men 7'30 hta 00.00 odar 3amra,,من ح'ع0 هتا 00.00 أُدار عامرا
lhad l2an 3jabni rtahit lih,,لهاد لأن عجابني رتاهيت ليه
mchit ana 3and tbib,,مشيت أنا عاند تبيب
wlda wahd ghalloudi,,ولدا واهد غالّودي
mzyana z3ma?,,مزيانا زعما?
nmxi 3andha,,نمشي عاندها
m9abl m3a marwa had lmohndis,,مقابل معا ماروا هاد لموهنديس
bghit nswlk wax l9iti twan4ak,,بغيت نسولك واش لقيتي توان4اك
xi whda zwina fin l9aha?,,شي وهدا زوينا فين لقاها?
ghir hiya tib 3am,,غير هييا تيب عام
yakma ki9lb sikan,,ياكما كيقلب سيكان
ki9alb jyab wld lhram,,كيقالب جياب ولد لهرام
ki9alb 3la 5la darboh,,كيقالب علا خلا داربوه
men ltaht kina sl3a,,من لتاهت كينا سلعا
hta hiya rak 3arfa,,هتا هييا راك عارفا
kat3arfiha mazyana,,كاتعارفيها مازيانا
mn ba3d ma3ert,,من باعد ماعرت
sfti lia num ta3o,,سفتي ليا نوم تاعو
db chhal 3andak,,دب شهال عانداك
l9it 3ando noba,,لقيت عاندو نوبا
m3atla bzaf dik lmra,,معاتلا بزاف ديك لمرا
mxit 3and lo5ra,,مشيت عاند لوخرا
dik lbinaya li m9abla m3a jondarm,,ديك لبينايا لي مقابلا معا جوندارم
m9abla m3a the facto,,مقابلا معا ته فاكتو
lmahata li fiha tkaxt,,لماهاتا لي فيها تكاشت
tma fin kina rawda,,تما فين كينا راودا
ghi hiya tmxi bkri,,غي هييا تمشي بكري
kadori liha men zn9a li 3la lisr ta3ha,,كادوري ليها من زنقا لي علا ليسر تاعها
db ana 4adya fi tri9,,دب أنا 4اديا في تريق
ndawz 3la 9bl x9i9a,,نداوز علا قبل شقيقا
homa kay9albo ras,,هوما كايقالبو راس
fi lbadya kin hisa ta3 ta3aro,,في لباديا كين هيسا تاع تاعارو
smitha na3ima,,سميتها ناعيما
makaychadch rondivo,,ماكايشادش رونديڤو
mxit 3and whd tbiba,,مشيت عاند وهد تبيبا
tbiba lyom fethat 3iyada,,تبيبا ليوم فتهات عييادا
kaykon mabayanch ljanin db,,كايكون مابايانش لجانين دب
ah akhti darori tkarfsi,,أه أختي داروري تكارفسي
4alt liya darbk lbard,,4الت لييا داربك لبارد
5ask trtahi,,خاسك ترتاهي
raha hta yxad lbebe blasto,,راها هتا يشاد لبب بلاستو
lbarh dala haka rod nhar kaml,,لباره دالا هاكا رود نهار كامل
lhamdolah akhti bikher,,لهامدولاه أختي بيخر
had law9ita s3iba,,هاد لاوقيتا سعيبا
3la lah a5ti tfot,,علا الله أختي تفوت
tmhnt fi lwlada,,تمهنت في لولادا
fi had la5r klit xaht,,في هاد لاخر كليت شاهت
b9a liya had xhar,,بقا لييا هاد شهار
lah ysbrni fuh,,الله يسبرني فوه
kib9a rajlk,,كيبقا راجلك
wlahila halti,,ولاهيلا هالتي
tkrfst a5ti had liyam,,تكرفست أختي هاد لييام
dwzha 3liya ras,,دوزها علييا راس
rjliya tnf5o o3atini lhri9,,رجلييا تنفخو أُعاتيني لهريق
bndm ki xta,,بندم كي شتا
kolxi ktxbh,,كولشي كتشبه
9lil fin tl9a,,قليل فين تلقا
3ndmn trtah,,عندمن ترتاه
kidarti m3a la3za,,كيدارتي معا لاعزا
ah hadik jatni,,أه هاديك جاتني
mabihax,,مابيهاش
nassek ba3da matfahmin,,ناسّك باعدا ماتفاهمين
lawham kif dayr,,لاوهام كيف داير
m3awnink wla la,,معاونينك ولا لا
amiin akhti rbi m3ak,,أميّن أختي ربي معاك
3andi bnita,,عاندي بنيتا
db mab9itx knhzo,,دب مابقيتش كنهزو
kndoz men dorof s3iba,,كندوز من دوروف سعيبا
3yayt bdik sir ji 3nd toba,,عيايت بديك سير جي عند توبا
mab9it kndir wlo,,مابقيت كندير ولو
ghi xi x9ya 5fifa,,غي شي شقيا خفيفا
ghir mathazich t9ol,,غير ماتهازيش تقول
kanasma3 3la 3 xhor kiban,,كاناسماع علا 3 شهور كيبان
bghit nxri ksiwa,,بغيت نشري كسيوا
lbarah ham9atni wahd lbisa,,لباراه هامقاتني واهد لبيسا
ma5alani nxriha,,ماخالاني نشريها
wax 3rfti axno 3ndk,,واش عرفتي أشنو عندك
