darija,eng,darija_ar
"homa mkhbbyin chi haja, ana mti99en!","They're hiding something, I'm sure!","هوما مخبّين شي حاجة, أنا متيقّن!"
bayna homa tay7awlo ib9aw mbrrdin.,It's obvious they're trying to keep their cool.,باينا هوما تايحاولو إبقاو مبرّدين.
loTilat mabaynach fihom mori7in bzzaf.,the hotels don't seem very comfortable.,لوطيلات مابايناش فيهوم مريحين بزّاف.
ghaliban ghayjrriw 3lih mn lkhdma!,he is probably about to be laid off by head office!,غالبا غايجرّيو عليه من لخدمة!
Tab3an rah mkta2eb!,of course he's depressive!,طبعا راه مكتاءب!
tayballia ghanmchi!,I think I'm going to leave!,تايبالّيا غانمشي!
ara lia dak sac.,hand me that bag.,أرا ليا داك ساك.
ghanmreD!,I'm going to be sick!,غانمرض!
knt dima 3arf annaha bghatna nmoutou,I always knew she wanted us dead,كنت ديما عارف أنّها بغاتنا نموتو
bghit n3ref ch7al b9a lia tlwe9t bach n9ra,I'd like to know how much time I have left to study,بغيت نعرف شحال بقا ليا تلوقت باش نقرا
"ghaykon 3ndna mti7an, ala hadchi lli 9Sedti","We will have an exam, if that is what you mean","غايكون عندنا امتحان, ألا هادشي لي قصدتي"
"ssimana jjaya, nhar lkhmis","Next week, on Thursday","السيمانة الجاية, نهار لخميس"
ghanghTTiw ga3 lmawad tal tlat jjay,We will cover all the material up to next Tuesday,غانغطّيو ڭاع لمواد تال تلات الجاي
ewa bda l9raya bkri!,so start studying soon!,إوا بدا لقرايا بكري!
"wakha, ala 3ndi ay as2ila, wach nsifthom lik f email?","Okay, if I have any questions, could I email them to you?","واخا, ألا عندي أي أسئلة, واش نصيفتهوم ليك ف إمايل?"
walakin ghanjawb 3lihom fl aw9at t lkhdma,But I will only answer them during working hours,و لكن غانجاوب عليهوم ف الأوقات ت لخدمة
idan 3afak matsifthomch m3TTel nhar larb3 bl3chia,so please don't send them late on Wednesday evening,إدن عافاك ماتصيفتهومش معطّل نهار لاربع بلعشية
"chokran, a lalla","Thank you, ma'am","شكرا, أ لالّة"
ach kay3ni hadchi?,what is that meant to be?,أش كايعني هادشي?
kifach ktabk ghay3awnni nt8dden,how is your book going to help me calm down,كيفاش كتابك غايعاونّي نتهدّن
tan8Dr 3la mrrakch,I'm talking about Marrakech,تانهضر على مراكش
bjojna tankhafo mn TTayaran,we're both scared of flying,بجوجنا تانخافو من الطيران
awlla!,isn't it!,أولا!
o mnimta bssalama nn3as kan kay3awen chi wahd?!,and since when have sleeping helped anyone?!,و منيمتا بالسلامة النعاس كان كايعاون شي واحد?!
knt 3arfha!,I knew it!,كنت عارفها!
a rebbi!,oh god!,أ ربّي!
hadchi kollo lghalaT dyalk,it's all your fault,هادشي كولّو الغلط ديالك
w f7alat w93at ksida ach khssna ndiro?,And in case of accidents we're supposed to do what?,و فحالة وقعات كسيدة أش خسّنا نديرو?
lach jbti m3ak chjra l Tyyara?!,why did you bring a tree onto the plane?!,لاش جبتي معاك شجرة ل الطيارة?!
wach nti 7m9a!,are you crazy!,واش نتي حمقة!
tan9tar7 annak tsm3 ktr o thdr 9ell,I suggest you listen more and talk less,تانقتارح أنك تسمع كتر و تهضر قلّ
khssni nmchi daba,I have to go now,خسّني نمشي دابا
