"n1","n2","n3","n4","eng"
"ifri9ia","ifriqia","","","africa"
"mghrib","maghrib","","","morocco"
"mrrakch","mrrakech","mrrakach","","marrakech"
"rbaT","","","","rabat"
"europa","oroppa","","","europe"
"kaza","casa","","","casablanca"
"Tanja","","","","tangier"
"ssa3oudia","","","","saudi arabia"
"9atar","","","","qatar"
"imarat","","","","emirates"
"dzair","","","","algeria"
"fransa","","","","france"
"Sbania","","","","spain"
"brT9iz","lbart9iz","","","portugal"
"bortoghal","","","","portugal"
"almania","","","","germany"
"swisra","souisra","","","switzerland"
"japoun","","","","japan"
"mirikan","","","","united states"
"ngliz","negliz","ingliz","","united kingdom"
"bljika","beljika","baljika","","belgium"
"talyan","talian","","","italy"
"misr","misra","mesr","","egypt"
"touns","","","","tunisia"
"moritania","mouritania","","","mauritania"
"jam3lfna","jam3 lafna","","","Jemaa el-Fnaa square"
"blasa","","","","place"
"khariTa","5ariTa","","","map"
"l3alam","3alam","","","world"
"klma","kalima","kelma","kalma","word"
"sbiTar","","","","hospital"
"filistin","filistine","","","palestine"
"fransawia","fransawya","","","french"
"sblyonia","sbalyonia","sbelionia","sbalionia","spanish"
"boSTa","bouSTa","lboSTa","","post office"
"mn","men","","","from"
"lkharij","l5arij","","","abroad"
"maTar","","","","airport"
"faDa2","","","","universe"
"mrrikh","lmrrikh","marrikh","","mars"
"9amar","l9amar","qamar","","moon"
"3onwan","","","","address"
"mirikani","","","","american"
"finmma","finemma","finamma","","anywhere"
"llor","llour","","","back"
"gddam","goddam","","","front"
"mkhbaza","makhbaza","","","bakery"
"t7t","ta7t","te7t","","bellow"
"7odoud","","","","borders"
"chinwa","","","","china"
"chinwa","","","","chinese"
"3rbi","3arbi","3erbi","3arabi","arab"
"younan","yonan","","","greece"
"blad","bilad","","","country"
"dawla","doula","dola","dowla","country"
"frmasian","frmacian","frmasyan","","pharmacy"
"mdina","madina","","","city"
"firma","","","","farm"
"chr9","cher9","char9","","east"
"ghrb","gherb","gharb","","west"
"chamal","","","","north"
"janoub","janob","","","south"
"mnTa9a","manTa9a","menTa9a","","region"
"3aSima","3aaSima","","","capital"
"kawkab","kaoukab","","","planet"
"ma7TTa","ma7aTTa","ma7eTTa","mahtta","station"
"7anout","7anot","","","shop"
"9aarra","9arra","qaarra","","continent"
"chari3","chaari3","","","street"
"Tri9","Tre9","","","road"
"lotorot","lotorout","","","highway"
"sikteur","siktour","","","neighborhood"
"saa7a","sa7a","saaha","","square"
"9hwa","9ahwa","9ehwa","9a8wa","coffee shop"
"borj","","","","tower"
"mktaba","mektaba","maktaba","","library"
"otil","hotel","otel","","hotel"
"klinik","","","","clinic"
"pisin","picin","","","swimming pool"
"tritwar","trotwar","tritouar","trotouar","sidewalk"
"ttija8","ittija8","ttijah","ittijah","direction"
"limn","limen","liman","","right"
"lisr","lisser","lissar","","left"
"masafa","massafa","","","distance"
"misa7a","misaa7a","misaha","","area"
"sifara","","","","embassy"
"","","","",""
