"n1","n2","n3","n4","eng"
"7jjam","7ejjam","7ajjam","hajjam","barber"
"7lla9","7ella9","7alla9","hallaq","barber"
"gzzar","guezzar","gazzar","","butcher"
"Tbib","","","","doctor"
"frmlia","fermlia","farmlia","","nurse"
"modir","moudir","","","director"
"fnnan","fennan","fannan","","artist"
"trisyan","trician","","","electrician"
"mo8ndis","mohndis","","","engineer"
"flla7","fella7","falla7","fllah","peasant"
"Sa7afi","Sahafi","","","journalist"
"9aDi","qaDi","","","judge"
"mo7ami","mou7ami","mohami","","lawyer"
"mikanisyan","mikanician","mecanician","","mechanic"
"wakil","ouakil","","","prosecutor"
"bolisi","bolissi","","","cop"
"jadarmi","","","","gendarme"
"rssam","rassam","","","painter"
"moSwwir","moSwwer","moSwir","moSwer","photographer"
"srbay","serbay","sarbay","","waiter"
"srbaya","serbaya","sarbaya","","waitress"
"khyyaT","khiaT","5ayyaT","khayyaT","tailor"
"safir","safyr","","","ambassador"
"mostachar","mostachaar","","","advisor"
"plombi","","","","plumber"
"mo9awil","","","","entrepreneur"
"modir","","","","director"
"mowDDaf","","","","employee"
"sikritira","","","","assistant"
"khDDar","","","",""
"njjar","","","",""
"jlayji","","","",""
"Sbbagh","","","",""
"n77at","","","",""
"gbbaS","","","",""
"mol ddjaj","","","",""
"mol l7out","","","",""
"mol lmSbana","","","",""
"moSwwir","","","",""
