"darija","eng"
"zreb t3TTel","hurry and you will be late"
"lli 3DDo l7nch kaykhaf mn l7bel","a man bitten by a snake is afraid of rope"
"kon sb3 o koulni","be a lion and eat me"
"kaydo99 wigoul chkoun","he knocks and says who is there"
"walaw Tart m3za","when pigs fly"
"m3rft rrjal knz",""
"lahomma l3mch wala l3ma",""
"l7orr blghmza ol3bd bddbza",""
"ila kan khouk 3sl matl7souch kollo",""
"zzyada mn ras l7me9",""
"sdd tl9a mat7ell",""
"maddir khir mayTra bas",""
"7jja o zyara",""
"allah ir7m mn zar okhffef",""
"khrjo rjlih mn chwari",""
"9Tra b 9Tra kay7ml lwad",""
"kbberha tsghar",""
"lli khaf nja",""
