n1,n2,n3,n4,darija_ar,eng
klb,kalb,kelb,,كلب,dog
mch,moch,mech,,مش,cat
7mar,hmar,himar,,حمار,donkey
zarafa,,,,زرافة,giraffe
sb3,sbe3,sbaa,sba3,سبع,lion
djaja,,,,دجاجة,chicken
frouj,farrouj,farouj,,فروج,cock
ghzala,,,,غزالة,gazelle
nmr,nmer,nmar,,نمر,tiger
Db3,Dbe3,Dbaa,Dba3,ضبع,hyena
7out,hout,houte,,حوت,fish
nmla,nemla,,,نملة,ant
fkroun,fekroun,fakroun,,فكرون,turtle
brbouch,beboch,babbouch,berbouch,بربوش,snail
bghl,bghel,bghal,,بغل,mule
3awd,aawd,3aoud,,عاود,horse
khrouf,5rouf,5rof,khrof,خروف,sheep
7awli,hawli,hewli,7ouli,حاولي,sheep
n3ja,ne3ja,na3ja,,نعجة,sheep
m3za,ma3za,me3za,maaza,معزة,goat
timsa7,timsah,,,تمساح,crocodile
fil,fyl,,,فيل,elephant
3jl,3jel,3jal,aajel,عجل,calf
dib,dyb,,,ديب,wolf
7llouf,7allouf,hallouf,hellouf,حلّوف,pig
9rd,9ard,qard,9erd,قرد,monkey
Tobba,,,,طوبّا,rat
jml,jmal,jmel,,جمل,camel
dlfin,delfin,dalfine,,دلفين,dolphin
moka,mouka,,,موكا,owl
t3lb,the3leb,ta3lab,te3leb,تعلب,fox
bgra,bagra,begra,,بڭرة,cow
dobb,dob,,,دبّ,bear
9niwna,9nia,qnia,,قنيونة,rabbit
Twiyer,Twyer,Ter,Tir,طويير,bird
ti9lit,ti9lita,tiqlit,,تيقليت,lizard
babbagha,babbaghio,babaghyo,babbagha2,ببغاء,parrot
far,,,,فار,mouse
bTTa,baTTa,beTTa,,بطّة,duck
crevit,,,,كروڤيت,shrimps
bibi,,,,بيبي,turkey
n7la,na7la,ne7la,,نحلة,bee
ghrab,ghorab,,,غراب,crow
7mama,hmama,,,حمامة,pigeon
bllarj,bellarj,belarj,belarj,بلّارج,stork
n3ama,naama,,,نعامة,ostrich
gnfoud,ganfoud,,,ڭنفود,hedgehog
khffach,khoffach,5ofach,5offach,خفّاش,bat
jrana,,,,جرانة,frog
sinjab,,,,سنجاب,squirrel
7nch,7ench,7anch,hench,حنش,snake
okhToboT,,,,أُخطبوط,octopus
9irch,qirch,,,قرش,shark
nsr,nser,,,نسر,eagle
biTri9,biTriq,,,بطريق,penguin
faracha,,,,فراشة,butterfly
rtila,,,,رتيلة,spider
3grba,aagrba,3garba,,عڭربة,scorpion
namousa,namosa,,,ناموسة,mosquito
dbbana,debana,dbana,,دبّانة,fly
dbban,deban,dban,,دبّان,flies
jrada,,,,جرادة,grasshopper
jrad,,,,جراد,grasshoppers
douda,,,,دودة,worm
doud,,,,دود,worms
7ayawan,hayawan,,,حيوان,animal
7achara,hachara,,,حشرة,insect
7acharat,hacharat,,,حشرات,insects
7ayawanat,hayawanat,,,حيوانات,animals
3oSfor,,,,عصفور,bird
tour,thour,thor,tor,تور,bull
samaka,,,,سمكة,fish
daynaSour,daynaSor,,,دايناصور,dinosaur
bobris,boubris,bobriss,boubriss,بوبريص,lizard
9ondos,,,,قندس,beaver
b8ima,bhima,,,بهيمة,cattle
wzza,wezza,,,وزّة,goose
Taws,Taawous,Tawous,,طاوس,peafowl
srdin,,,,سردين,sardine
smTa,semTa,samTa,,سمطة,eel
fo9ma,foqma,,,فقمة,seal
srra9zzit,srra9 zzit,srra9 zit,,سرّاق زّيت,cockroach
boj3ran,bouj3ran,,,بوجعران,cockroach
gml,gmel,gmal,,ڭمل,louses
mn9ar,man9ar,men9ar,manqar,منقار,beak
jna7,jnah,,,جناح,wing
richa,rycha,,,ريشة,feather
ghoul,ghol,,,غول,beast
faras nna8r,faras nnahr,,,فرس النهر,hippopotamus
wa7id l9arn,wahid l9arn,wahid lqarn,,وحيد لقرن,rhinoceros
7imar wa7chi,7imar w7chi,,,حمار وحشي,zebra
ghzala,,,,غزالة,deer
fa8d,fahd,fehd,,فهد,leopard
ferrouj,frroj,farouj,,فرّوج,cock
8od8od,hodhod,,,هدهد,hoopoe
hamster,8amster,,,هامستر,hamster
panda,ppanda,,,پاندا,panda
llama,,,,اللاما,llama
koala,kwala,kowala,,كوالا,koala
