n1,n2,n3,n4,darija_ar,eng
mousi9a,musiqa,mosi9a,,موسيقا,music
rasm,,,,راسم,painting
kamanja,,,,كامانجا,violin
3oud,,,,عود,oud
chTi7,chTih,,,شطيح,dance
ghna,ghona,,,غنا,singing
chi3r,,,,شيعر,poetry
fenn,fann,fnn,,فنّ,art
msr7,masra7,masrah,mesre7,مسرح,theater
tSfi9,taSfi9,,,تصفيق,applause
tSwira,tSwera,taSwira,,تصويرا,photo
ta9afa,taqafa,,,تاقافا,culture
chita,,,,شيتا,brush
khayal,5ayal,,,خايال,imagination
DDo,Daw2,,,الضو,light
ibda3,ibdaa3,,,إبداع,creativity
jamal,jamaal,,,جامال,beauty
raw3a,,,,راوعا,magnificence
chaa3ir,cha3ir,,,شاعير,poet
kaatib,katib,,,كاتيب,writer
riwa2i,riwaa2i,,,ريواإ,novelist
mokhrij,mo5rij,,,موخريج,film director
momttil,momtil,,,مومتّيل,actor
mo2llif,mo2allif,mo2lif,,موءلّيف,author
8ndasa,8andasa,,,هنداسا,engineering
rasm,,,,راسم,drawing
n7t,na7t,ne7t,,نحت,sculpture
mt7f,mot7af,,,متحف,museum
Tbl,Tbel,Tbal,,طبل,drum
piano,,,,پيانو,piano
guitar,gitar,,,ڭويتار,guitar
nghma,neghma,naghma,,نغما,tone
osloub,oslob,,,أُسلوب,style
ofo9i,ofoqi,,,أُفوقي,horizontal
3amoudi,3amodi,,,عامودي,vertical
chm3a,cham3a,chem3a,,شمعا,candle
nsijam,insijam,,,نسيجام,harmony
tze3zi3,tza3zi3,tz3zi3,,تزعزيع,vibration
i9a3,iy9a3,iqa3,,إقاع,rhythm
t2tir,ta2tir,ta2thir,te2tir,تءتير,impression
t2Tir,ta2Tir,te2Tir,,تءطير,supervising
tSmim,taSmim,,,تصميم,design
t3bir,te3bir,ta3bir,taabir,تعبير,expression
ti9nia,tiqnia,,,تيقنيا,technique
tikrar,,,,تيكرار,repetition
m3awda,,,,معاودا,repetition
tamatoul,tamatol,tamathoul,,تاماتول,symmetry
bou3d,bo3d,,,بوعد,dimension
bo3d,,,,بوعد,remote
masafa,massafa,,,ماسافا,distance
gnTra,ganTra,guenTra,,ڭنطرا,bridge
khTT,khaTT,kheTT,,خطّ,line
morbba3,morba3,morbba3,,موربّاع,square
dwwara,da2ira,,,دوّارا,circle
motllat,motlat,,,موتلّات,triangle
mostaTil,,,,موستاطيل,rectangle
n9Ta,no9Ta,,,نقطا,point
Sout,Saout,,,صوت,voice
zwin,zwen,,,زوين,beautiful
zin,,,,زين,beauty
khayal,5ayal,,,خايال,fiction
chacha,chaacha,,,شاشا,screen
koumidia,koumidya,comedia,komidia,كوميديا,comedy
taarikhi,tarikhi,tari5i,taari5i,تاريخي,historical
Sout,Sawt,Saout,Sot,صوت,sound
adat,adaat,,,أدات,instrument
m3riD,ma3riD,,,معريض,exhibition
mi8rajan,mihrajan,,,ميهراجان,festival
makiaj,makyaj,,,ماكياج,makeup
baTal,,,,باطال,hero
ch3bi,che3bi,cha3bi,,شعبي,popular
riwaya,,,,ريوايا,novel
moslsal,mosellsal,mouselsal,,موسلسال,series
9anat,qanat,9anaat,,قانات,channel
ich8ar,,,,إشهار,advertisement
moghnni,moghenni,moghanni,,موغنّي,singer
fr9a,fer9a,,,فرقا,band
jou9,jo9,,,جوق,choir
kasiTa,,,,كاسيطا,tape
9anoun,9anon,9aanon,,قانون,qanun
