n1,n2,n3,n4,darija_ar,eng
7wayj,7wayej,7wayaj,hwayej,حوايج,clothes
khatm,5atm,khatem,,خاتم,ring
9amija,qamija,,,قاميجا,shirt
srwal,serwal,sarwal,,سروال,pants
kaskita,kasketa,,,كاسكيتا,cap
sbbat,sebbat,,,سبّات,shoe
t9achr,t9acher,tqacher,,تقاشر,socks
chort,short,,,شورت,shorts
kbbot,kabbot,kebbot,,كبّوت,coat
grafaTa,,,,ڭرافاطا,tie
Trbouch,Tarbouch,Terbouch,Tarboch,طربوش,hat
tjakiTa,jakiTa,jakiT,,تجاكيطا,jacket
Saya,,,,صايا,skirt
slip,,,,سليپ,underpants
chal,,,,شال,scarf
djin,,,,دجين,jeans
kswa,kaswa,keswa,,كسوا,dress
kostim,koustim,,,كوستيم,suit
pijama,pyjama,,,پيجاما,pajamas
likouch,likoch,,,ليكوش,diapers
ligat,,,,ليڭات,gloves
smTa,samTa,semTa,,سمطا,belt
SDfa,SaDfa,SeDfa,,صضفا,button
jib,jayb,,,جيب,pocket
Twang,Twaneg,Twanag,7ala9ate,طوانڭ,earring
snsla,sensla,selsla,slsla,سنسلا,necklace
gormiT,gourmiT,gourmeT,,ڭورميط,bracelet
bsTam,bzTam,besTam,bezTam,بسطام,wallet
mDll,mDall,mDell,mDalla,مضلّ,umbrella
Tagia,Taguia,Tagyya,Taguyya,طاڭيا,skullcap
touni,toni,,,توني,football shirt
jellaba,jllaba,,,جلّابا,jellaba
blgha,belgha,cherbil,,بلغا,blgha
drra3ia,Drra3ia,,,درّاعيا,drraia
jabador,jabadour,,,جابادور,jabador
9fTan,9efTan,9afTan,,قفطان,qafTan
tkchiTa,tekchiTa,takchiTa,,تكشيطا,takchiTa
sl8am,sel8am,slham,selham,سلهام,cape
