n1,n2,n3,n4,darija_ar,eng
loun,lawn,laoun,lwn,لون,color
7mr,7mer,,,حمر,red
khdr,5dr,khdar,khder,خدر,green
zr9,zra9,zre9,zraq,زرق,blue
byed,byad,,,بيد,white
k7l,k7al,k7el,,كحل,black
limouni,,,,ليموني,orange
gri,,,,ڭري,grey
9hwi,9ahwi,qahwi,9ehwi,قهوي,brown
bonni,,,,بونّي,brown
fanidi,,,,فانيدي,pink
wardi,werdi,ouardi,,واردي,pink
banafsaji,,,,بانافساجي,purple
9ou9i,9o9i,,,قوقي,purple
Sfr,Sfar,Sfer,,صفر,yellow
maro,lmaro,,,مارو,maroon
bij,beige,baaj,,بيج,beige
d8bi,de8bi,dehbi,Dahbi,دهبي,gold
khzzi,khezzi,khassi,,خزّي,army green
mghlou9,maghlou9,maghlouq,meglou9,مغلوق,dark
mftou7,meftou7,maftouh,maftou7,مفتوح,light
