n1,n2,n3,n4,darija_ar,eng
flous,flouss,,,فلوس,money
l3a9a,ll3a9a,ll3aqa,,لعاقا,money
stitmar,istitmar,,,ستيتمار,investment
raslmal,ras lmal,,,راسلمال,capital
ttaman,taman,,,التامان,price
Talab,,,,طالاب,demand
kra,lkra,,,كرا,rent
salaf,,,,سالاف,loan
9rD,9arD,9erD,,قرض,loan
kridi,,,,كريدي,credit
9tiSad,9tissad,,,قتيصاد,economy
byya3,beyya3,beya3,bya3,بيّاع,seller
chrray,chray,,,شرّاي,buyer
lbi3,,,,لبيع,selling
chchra,,,,الشرا,bying
sou9,souq,souk,,سوق,market
charika,,,,شاريكا,company
dr8m,drhm,der8am,dirham,درهم,dirham
jma3a,,,,جماعا,group
tti7ad,iti7ad,itihad,ittihad,التيحاد,union
7tikar,htikar,,,حتيكار,monopoly
7tiyaT,i7tiaT,ihtiaT,,حتيياط,reserve
khdma,khedma,khadma,5adma,خدما,job
3omla,3oumla,,,عوملا,currency
rrb7,rrba7,,,الربح,profit
kriz,criz,,,كريز,crisis
stachr,istachar,,,ستاشر,consult
sti9rar,isti9rar,stiqrar,,ستيقرار,stability
sti8lak,stihlak,istihlak,isti8lak,ستيهلاك,consumption
iSla7,,,,إصلاح,reform
sa2i7,saih,ra2ih,sai7,ساإح,tourist
biznis,,,,بيزنيس,business
tijara,ttijara,,,تيجارا,commerce
fayit,fayyit,,,فاييت,bankruptcy
dawli,daouli,,,داولي,international
3alami,aalami,,,عالامي,international
D3if,Da3if,,,ضعيف,weak
fa9ir,,,,فاقير,poor
prodwi,,,,پرودوي,product
mntouj,mentouj,mantouj,,منتوج,product
brnamaj,barnamaj,bernamaj,,برناماج,program
banka,,,,بانكا,bank
borSa,bourSa,,,بورصا,stock exchange
lasorans,lassourans,lasourans,,لاسورانس,insurance
tkhzin,takhzin,tekhzine,,تخزين,storage
tkhTiT,takhTiT,tekhTiT,ta5TiT,تخطيط,planning
lma3icha,,,,لماعيشا,cost of living
Dariba,,,,ضاريبا,tax
moka,mouka,,,موكا,money
srbis,serbis,serbiss,,سربيس,service
blan,blane,,,بلان,plan
da3m,dda3m,,,داعم,support
ch8ria,cha8ria,chahria,chehria,شهريا,salary
bznas,beznas,,,بزناس,drug dealer
mo9awala,moqawala,,,موقاوالا,enterprise
faktoura,,,,فاكتورا,bill
mizania,,,,ميزانيا,budget
Sina3a,Sinaa3a,,,صيناعا,industry
zira3a,ziraa3a,,,زيراعا,agriculture
SSayd,SSeyd,,,الصايد,fishing
l9iTa3 lkhaS,,,,لقيطاع لخاص,private sector
l9iTa3 l3amm,,,,لقيطاع لعامّ,public sector
tmwil,tamwil,tmouil,temwil,تمويل,funding
3amal,,,,عامال,work
sti9ala,isti9ala,sti9aala,,ستيقالا,resignation
ta9a3od,ta9aa3od,,,تاقاعود,retirement
mdkhoul,medkhoul,mad5oul,med5ol,مدخول,income
mchro3,machrou3,mchrou3,mechrou3,مشروع,project
tterwa,ttrwa,ttarwa,,التروا,wealth
Talab,,,,طالاب,application
mblagh,meblegh,mblegh,mablagh,مبلاغ,amount
soyoula,soyola,souyoula,,سويولا,liquidity
iflass,,,,إفلاسّ,bankruptcy
rob3,rbe3,rb3,,روبع,quarter
sanadat,,,,سانادات,bonds
ashom,,,,أسهوم,shares
lwert,lwart,lwrt,,لورت,inheritance
7anout,,,,حانوت,shop
ma7al,,,,ماحال,shop
sel3a,sl3a,,,سلعا,products
clian,klian,,,كليان,client
siya7a,,,,سيياحا,tourism
stawred,stewred,stawrd,stwrd,ستاورد,import
Sader,Seder,Sadar,Sdr,صادر,export
tesbi9,tasbi9,tsbi9,,تسبيق,deposit
3ajz,3ejz,,,عاجز,deficit
tanwi3,tenwi3,,,تانويع,diversification
tadakhom,,,,تاداخوم,inflation
fabour,,,,فابور,free
kridi,,,,كريدي,debt
sl3a,sl3a,,,سلعا,goods
nkimash,nkimach,,,نكيماش,deflation
lfa2ida,lfayda,,,لفاإدا,interest
