n1,n2,n3,n4,darija_ar,eng
oustad,ostad,,,أستاذ,teacher
tlmid,tilmid,,,تلميد,student
moudir,modir,,,مدير,director
3amid,aamid,,,عميد,dean
sbbora,sabbora,sbora,,سبّورة,blackboard
Tabachir,,,,طباشير,chalk
fizik,lfizik,,,فيزيك,physics
tarikh,,,,تاريخ,history
ryaDiat,riaDiat,,,رياضيات,math
ryaDa,riaDa,,,رياضة,sport
joghrafia,,,,جغرافيا,geography
drs,ders,dars,,درس,course
mti7an,imti7an,mtihan,mti7ane,متحان,exam
ktab,kitab,,,كتاب,book
dftar,deftar,daftar,,دفتر,notebook
btida2i,,,,ابتدائي,elementary
t3lim,ta3lim,,,تعليم,education
mdrasa,medrasa,madrassa,medrassa,مدرسة,school
9ism,qism,,,قسم,class
lafak,lafac,la fac,lkollia,لافاك,faculty
i3dadi,,,,إعدادي,middle school
tanawi,tanaoui,,,تانوي,high school
jami3a,ljami3a,,,جامعة,university
diplom,diplome,,,دپلوم,diploma
idara,lidara,,,إدارة,administration
Tawila,,,,طاولة,bench
flsafa,falsafa,felsafa,,فلسفة,philosophy
mawad,,,,مواد,subjects
3ilm,,,,علم,science
logha,lougha,,,لغة,language
adab,,,,أداب,literature
3oloum,3ouloum,3olom,,علوم,sciences
ktba,kitaba,ktaba,,كتبة,writing
jabr,,,,جبر,algebra
8ndasa,handasa,8andasa,hndasa,هندسة,geometry
l7sab,7sab,hsab,,لحساب,computing
chimi,,,,شيمي,chemistry
stilo,stylo,,,ستيلو,pen
misTara,,,,مسطرة,ruler
chkara,,,,شكارة,bag
9alam,qalam,,,قلم,pencil
mim7at,mimhat,,,ممحاة,eraser
3oTla,,,,عطلة,holiday
ta9afa,taqafa,,,تقافة,culture
7iSSa,7iSa,hiSSa,,حصّة,session
Sf7a,Saf7a,Sef7a,,صفحة,page
wr9a,wer9a,war9a,warqa,ورقة,paper
b7t,ba7t,be7t,,بحت,research
sou2al,soual,ce2al,sa2al,سؤال,question
jawab,,,,جواب,answer
fikra,,,,فكرة,idea
7sab,7ssab,,,حساب,count
Tol,Toul,,,طول,length
3rD,3arD,3erD,,عرض,width
rtifa3,irtifa3,,,رتفاع,hight
3lo,3low,,,علو,hight
moDo3,mowDo3,mawDou3,mowDou3,موضوع,topic
da2ira,dwwara,,,دائرة,circle
7rf,7arf,7erf,,حرف,letter
klma,kalma,kelma,,كلمة,word
jomla,joumla,,,جملة,phrase
faSila,,,,فاصلة,comma
tjriba,tajriba,tejriba,,تجربة,experience
kotla,,,,كتلة,mass
7ajm,,,,حجم,volume
khaTa2,5aTa2,,,خطأ,wrong
Sa7i7,Sahih,,,صحيح,right
m9S,m9aSS,m9eSS,m9as,مقص,scissors
rawD,raouD,,,روض,kindergarten
takhSSoS,ta5SSoS,takhaSSoS,ta5aSSoS,تخصّص,specialization
ni9ach,niqach,,,نقاش,discussion
t7lil,te7lil,ta7lil,tahlil,تحليل,analysis
tmrin,tamrin,temrin,,تمرين,exercise
min7a,minha,,,منحة,scholarship
ghyab,ghiab,,,غياب,absence
7oDor,7oDour,hoDour,,حضور,presence
za2id,,,,زائد,plus
na9iS,naqis,,,ناقص,minus
mDroub,,,,مضروب,times
m9soum,me9soum,m9som,ma9soum,مقسوم,divided
mo3adala,,,,معادلة,equation
kasr,,,,كسر,fraction
chakl,,,,شكل,shape
zawiya,zawia,zawya,,زاوية,angle
Tibb,,,,طبّ,medicine
7aDana,,,,حضانة,nursery school
ddirasat l3olya,ddirasat l3olia,,,الدراسات لعليا,higher education
ma38ad,me38ed,ma3had,m3hed,معهد,institute
bac,lbac,,,باك,baccalaureate
ma9al,ma9aal,,,مقال,essay
ma9al,ma9aal,,,مقال,article
sellan,sllan,,,سلّان,absence
