n1,n2,n3,n4,darija_ar,eng
9ala9,t9li9a,qalaq,,قالاق,worry
tbrziT,tberziT,tbarziT,,تبرزيط,annoyance
ghaDab,,,,غاضاب,anger
nachaT,nachaaT,,,ناشاط,amusement
9oboul,9obol,qoboul,,قوبول,acceptance
chaja3a,chajaa3a,,,شاجاعا,courage
ti9a,tti9a,,,تيقا,confidence
malal,,,,مالال,boredom
lamobalat,,,,لاموبالات,apathy
fDoul,fDol,,,فضول,curiosity
ka2aaba,ka2aba,,,كاأابا,depression
rghba,raghba,reghba,,رغبا,desire
tay3yef,,,,تايعيف,disgusting
chek,chakk,,,شك,doubt
nchwa,nechwa,nachwa,,نشوا,ecstasy
i7raj,,,,إحراج,embarrassment
lmrig,,,,لمريڭ,embarrassment
2ymane,imane,,,إيمان,faith
khouf,5ouf,khaouf,5aouf,خوف,fear
i7baaT,,,,إحباط,frustration
ta3aTof,,,,تاعاطوف,empathy
chokr,,,,شوكر,gratitude
Tm3,Tama3,Tam3,Tma3,طمع,greed
dnb,denb,danb,,دنب,guilt
ta2nib damir,,,,تاءنيب دامير,guilt
7amas,hamas,,,حاماس,enthusiasm
sa3ada,saaada,,,ساعادا,happiness
lfer7a,,,,لفرحا,happiness
karahia,kara8ia,kor8,korh,كاراهيا,hatred
7asad,hasad,,,حاساد,envy
ch8wa,cha8wa,che8wa,chahwa,شهوا,lust
7obb,hobb,houb,7oub,حوبّ,love
wa7da,,,,واحدا,loneliness
Drafat,,,,ضرافات,kindness
fara7,farah,,,فاراح,joy
ghira,ghyra,ghayra,,غيرا,jealousy
dell,ddell,,,دلّ,humiliation
ro3b,,,,روعب,horror
amal,,,,أمال,hope
nnadam,,,,النادام,remorse
RRafD,RafD,,,الرافض,rejection
nnadam,,,,النادام,regret
ghaDab,,,,غاضاب,rage
fakhr,fa5r,,,فاخر,pride
chafa9a,chafaqa,,,شافاقا,pity
chaghaf,,,,شاغاف,passion
7anin,hanin,,,حانين,nostalgia
7chma,7echma,7achma,hachma,حشما,shyness
Sdma,Sadma,Sedma,,صدما,shock
3ar,3aar,,,عار,shame
7ozn,hozn,7ouzn,houzn,حوزن,sadness
mo3anat,mo3aanaat,,,موعانات,suffering
mofaja2a,,,,موفاجاأ,surprise
khl3a,khel3a,khal3a,5al3a,خلعا,fear
wswas,waswass,waswas,,وسواس,obsession
f9sa,fa9sa,fe9sa,faqsa,فقسا,grief
Tomou7,Tomo7,,,طوموح,ambition
i7sas,ihsas,,,إحساس,feeling
cho3our,cho3or,,,شوعور,feeling
3aTifa,3aaTifa,,,عاطيفا,emotion
