n1,n2,n3,n4,darija_ar,eng
8awa2,8wa,8awa,,هواء,air
b7er,b7r,bhar,b7ar,بحر,sea
arD,,,,أرض,earth
wad,ouad,,,واد,river
chjra,chajra,chejra,,شجرة,tree
baTo,,,,باطو,ship
talwwot,talwot,talwwout,,تلوّت,pollution
ma2,ma,lma,,ماء,water
glaS,,,,ڭلاص,ice
tlj,telj,talj,,تلج,snow
Tri9,Triq,,,طريق,street
Dbab,Dbaba,,,ضباب,cloud
ghaba,,,,غابة,forest
jrda,jarda,jerda,,جردة,parc
choro9,chorou9,chorouq,,شروق,sunrise
ghorob,ghoroub,,,غروب,sunset
chmch,chamch,chemch,chems,شمش,sun
9amar,l9amar,qamar,,قمر,moon
mrrikh,marrikh,mari5,,مرّيخ,mars
sma,ssma,,,سما,sky
jbl,jbel,jbal,,جبل,mountain
chta,,,,شتا,rain
rr3Da,r3Da,ra3Da,,الرعدة,thunder
lberd,brd,berd,lbard,لبرد,cold
ri7,ry7,rih,rri7,ريح,wind
S8D,Sa8D,Se8D,SahD,صهض,heat
ti9i9t,ti99i9t,,,تيقيقت,extreme heat
smaym,,,,سمايم,extreme heat
chtwa,chetwa,chatwa,,شتوة,winter
SSif,SSef,,,الصيف,summer
lkhrif,khrif,5rif,,لخريف,autumn
rrbi3,rbi3,,,الربيع,spring
ljow,ljaw,ljw,,لجو,climate
zlzal,znzal,zelzal,zalzal,زلزال,earthquake
borkan,borkane,,,بركان,volcano
fayaDan,,,,فيضان,flood
7amla,,,,حملة,flood
joghrafia,joghrafya,,,جغرافيا,geography
T9s,Ta9s,,,طقس,weather
mDbbeb,mDabbab,mDebbab,mDebbeb,مضبّب,foggy
skhoun,skhon,s5on,s5oun,سخون,hot
mchmmch,mchmmech,mchemmach,mchammach,مشمّش,sunny
m3j3j,m3ej3ej,m3aj3aj,,معجعج,windy
khcheb,5kheb,khchab,khchb,خشب,wood
7did,hdid,7adid,,حديد,iron
jaj,jjaj,zaj,,جاج,glass
aliminiom,aliminyom,,,أليمينيوم,aluminum
n7as,,,,نحاس,copper
7jr,7jer,hjar,,حجر,stone
Sofa,SSofa,,,صوفا,wool
9Ten,,,,قطن,cotton
d8b,d8eb,dhab,dheb,دهب,gold
jld,jeld,jild,,جلد,leather
nnilo,nilou,nilo,,النيلو,nylon
rmla,remla,ramla,rremla,رملة,sand
fDDa,faDDa,,,فضّة,silver
3afia,,,,عافية,fire
njma,nejma,najma,,نجمة,star
mouja,mawja,mowja,mwja,موجة,wave
khla,5la,,,خلا,wild
7afa,7aafa,hafa,,حافة,edge
bo7ayra,bohayra,bo7aira,,بحيرة,lake
trab,,,,تراب,soil
Tabi3a,,,,طبيعة,nature
S7ra,Sahra,Sa7ra,,صحرا,desert
chllal,chellal,challal,,شلّال,waterfall
ghar,ghaar,,,غار,cave
wa7a,waa7a,,,واحة,oasis
rmad,rmaad,ramaad,,رماد,ash
ghis,ghiss,,,غيس,mud
roTouba,roToba,,,رطوبة,humidity
i3Sar,i3Saar,,,إعصار,hurricane
kawn,,,,كون,universe
