n1,n2,n3,n4,darija_ar,eng
khDra,khoDra,5oDra,,خضرة,vegetables
bsla,basla,besla,,بصلة,onion
maticha,matecha,,,مطيشة,tomato
jelbana,jlbana,,,جلبانة,pea
dnjal,denjal,,,دنجال,eggplant
gar3a,gr3a,,,ڭرعة,pumpkin
mkowwr,mkowwer,mkowwar,,مكوّر,cabbage
btata,batata,,,بطاطا,potato
khyar,khiar,5iar,5yar,خيار,cucumber
khizo,5izo,,,خيزو,carrot
touma,ttouma,,,تومة,garlic
chiflour,chiflor,,,شيفلور,cauliflower
9o9,9ou9,qoq,qouq,قوق,artichokes
khrchouf,kherchouf,kharchof,khrchof,خرشوف,cardoon
flfla,felfla,falfla,,فلفلة,pepper
fjl,fjel,,,فجل,radishes
loubia,lobia,loubya,,لوبيا,beans
bsbas,besbas,basbas,,بسباس,fennel
khoss,khos,5oss,5os,خص,lettuce
lft,left,laft,,لفت,turnip
kbal,,,,كبال,maize
9zbour,9azbour,9ezbor,9zbor,قزبور,coriander
m3dnous,m3adnous,m3ednous,me3dnous,معدنوس,parsley
zitoun,zitoune,,,زيتون,olives
barba,,,,باربا,beet
krafS,krafes,krafas,,كرافص,celery
kourjiT,korjiT,,,كورجيط,courgette
khDra,khoDra,,,خضرة,vegetables
dissir,ddissir,ddisser,disser,ديسير,fruits
tfa7,tfah,,,تفاح,apple
bou3ouid,bou3wid,bouaouid,,بوعويد,pear
friz,frez,,,فريز,strawberry
avoka,avoca,lavoka,,أڤوكا,avocado
3nb,3anb,3enb,,عنب,grape
krmous,karmous,kermous,,كرموس,fig
limoun,limon,,,ليمون,orange
7amd,hamd,,,حامض,lemon
rman,rmman,reman,,رمان,pomegranate
dla7,dela7,dlah,delah,دلاح,watermelon
khoukh,,,,خوخ,peach
kiwi,kioui,,,كيوي,kiwi
7blmlouk,7eb lemlouk,hab lamlouk,heb lemlouk,حب لملوك,cherry
ananas,,,,أناناس,pineapple
mnoun,,,,منون,melon
swi8la,swihla,souihla,,سويهلة,melon
banan,banane,,,بنان,banana
mchmach,mechmach,machmach,,مشماش,apricot
mang,mangue,,,مانڭ,mango
mandarine,mandarin,,,ماندرين,mandarin orange
tmr,tmar,tmer,,تمر,dates
br9o9,ber9o9,br9ou9,ber9ou9,برقوق,plums
makla,lmakla,,,ماكلة,food
3ds,l3ds,,,عدس,lenses
loubia,,,,لوبيا,beans
nbg,nbag,nbeg,nnbeg,نبڭ,jujube
blloT,balloT,,,بلّوط,oak
llouz,louz,,,اللوز,almonds
n3na3,naanaa,ne3na3,na3na3,نعناع,mint
zbib,zzbib,,,زبيب,raisins
biD,bayD,,,بيض,eggs
biDa,bayDa,,,بيضة,egg
zbda,zabda,zebda,,زبدة,butter
khbz,khobz,5obz,,خبز,bread
mska,maska,meska,,مسكة,chewing gum
skkar,sokkar,skar,sokar,سكّر,sugar
ml7a,mel7a,mal7a,malha,ملحة,salt
zit,zzit,,,زيت,oil
