n1,n2,n3,n4,darija_ar,eng
rrwa7,,,,الرواح,influenza
skkar,,,,سكّار,diabetes
Sda3,,,,صداع,ache
7asasia,hassasia,7assasia,,حساسية,allergy
DDi9a,DDe9a,,,الضيقا,asthma
tanffous,tanffos,tanaffos,,تنفّس,breathing
S7i7,,,,صحيح,healthy
mriD,,,,مريض,ill
Tibb,,,,طبّ,medicine
sbiTar,,,,سبيطار,hospital
labilanS,,,,لابيلانص,ambulance
maraD,,,,مرض,disease
konSir,mard khayb,lmard lkhayb,mard lkhayb,كونصير,cancer
taw77oud,taw77od,,,توحّد,autism
bouchwika,bochwika,,,بوشويكا,varicella
ara9,,,,أرق,insomnia
ss8al,,,,السهال,diarrhea
SriSra,,,,صريصرة,diarrhea
jr7a,jr7,jer7a,jar7a,جرحة,wound
t9ya,te9ya,t9ia,,تقيا,vomit
dwa,ddwa,,,دوا,medication
ghrza,ghorza,gherza,,غرزة,stitch
3kkaz,3okkaz,,,عكّاز,crutch
bnj,benj,lbnj,lbenj,بنج,anesthetic
tchri7,tachri7,,,تشريح,autopsy
S77a,Si77a,Sa77a,,صحّة,health
alam,2alam,7ri9,,ألم,pain
3Tsa,3eTsa,3aTsa,,عطسة,sneeze
k7ba,ka7ba,ke7ba,,كحبة,cough
khalia,khaliya,5alia,5alyya,خلية,cell
maraD mozmin,,,,مرض مزمن,chronic disease
maraD mo3di,,,,مرض معدي,contagious disease
gzima,lgzima,,,ڭزيما,eczema
SSr3,SSara3,,,الصرع,epilepsy
Ta3oun,Ta3on,,,طاعون,plague
romatizm,rromatizm,roumatizm,rroumatizm,روماتيزم,rheumatism
l7la9m,7la9m,7la9em,l7la9em,لحلاقم,tonsils
skhana,s5ana,sskhana,,سخانة,fever
7kka,7ekka,,,حكّة,itching
chalal,,,,شلل,paralysis
gui7,gi7,,,ڭيح,pus
lti8ab,ilti8ab,ltihab,,لتيهاب,inflammation
lbbaser,lbbasr,,,لبّاسر,piles
l9ebT,l9bT,,,لقبط,constipation
boul,,,,بول,urine
lgholD,gholD,lghlD,,لغلض,obesity
7ma9,l7ma9,,,حماق,insanity
ij8aD,ijhaD,,,إجهاض,abortion
jjdam,,,,الجدام,leprosy
7bb chchbab,7ebb chbab,7ebb chchbab,7bbchbab,حبّ الشباب,acne
7ri9 rass,alam d rass,,,حريق راسّ,headache
mheress,m8aress,mharres,,مهرسّ,fractured
thrisa,tehrisa,te8rissa,,تهريسة,fracture
boumzwi,bomzwi,,,بومزوي,Irritable bowel syndrome
