n1,n2,n3,n4,darija_ar,eng
insan,,,,إنسان,human
bnadm,bnadem,,,بنادم,human
rjl,rjel,,,رجل,foot
yedd,yed,idd,,يدّ,hand
3in,3ain,3ayn,,عين,eye
nif,,,,نيف,nose
mnakher,menkher,mnkhr,men5ar,مناخر,nose
fom,fomm,fmm,,فم,mouth
dmagh,,,,دماغ,brain
kbda,kebda,,,كبدة,liver
riyya,ria,riya,rya,رية,lung
klwa,kalwa,kelwa,,كلوة,kidney
m3da,me3da,ma3da,,معدة,stomach
3Dm,3Dam,,,عضم,bone
mSarn,mSaren,mSaran,,مصارن,intestine
9lb,9alb,9elb,qalb,قلب,heart
wdn,oden,wden,wdan,ودن,ear
ras,,,,راس,head
jasad,jassad,,,جسد,body
3oDw,,,,عضو,organ
jld,jelda,jeld,,جلد,skin
jmjoma,jomjoma,jmjouma,,جمجمة,skull
ch3r,ch3er,ch3ar,,شعر,hair
mostach,,,,موسطاش,mustache
l7ya,le7ya,la7ya,,لحية,beard
wjh,wjeh,wjah,,وجه,face
7ajb,hajb,,,حاجب,eyebrow
chfar,,,,شفار,eyelashes
dfal,ddfal,,,دفال,saliva
chwarb,chouarb,chwareb,,شوارب,lips
lsan,lisan,lissan,,لسان,tongue
snna,senna,,,سنّة,tooth
3ng,3ong,3eng,3on9,عنق,neck
9rjoTa,9arjoTa,,,قرجوطة,throat
ktf,ktef,ktaf,,كتف,shoulder
Sdr,Sdar,Sder,,صدر,chest
dra3,,,,دراع,arm
7nk,7ank,7enk,,حنك,cheek
jb8a,jab8a,jeb8a,jbha,جبهة,forehead
rmouch,,,,رموش,eyelashes
7la9m,7la9em,hlaqem,,حلاقم,tonsils
baT,,,,باط,armpit
mrf9,mrfg,marfa9,merfeg,مرفق,elbow
Sb3,Sbe3,,,صبع,finger
Dfr,Dfer,,,ضفر,fingernail
krch,kerch,karch,,كرش,abdomen
rjl,rjel,,,رجل,leg
fkhD,fkheD,,,فخض,thigh
rkba,rokba,,,ركبة,knee
gdm,gdem,,,ڭدم,heel
D8r,D8ar,D8er,Dhar,ضهر,back
Dl3a,Dal3a,Del3a,,ضلعة,rib
dm,dem,dam,,دم,blood
3r9,3ar9,3er9,,عرق,vein
3aDala,,,,عضلة,muscle
3amoud lfi9ari,3amoud fi9ari,3amod fi9ari,,عمود لفقري,backbone
chchouf,,,,الشوف,sight
ssm3,ssem3,ssam3,,السمع,hearing
chchmm,chchemm,chchamm,,الشمّ,smell
ddou9,,,,الدوق,taste
llms,llems,llams,,اللمس,touch
tanffous,tanffos,tanaffos,,تنفّس,breathing
tgrr3,tgerre3,tgarra3,tgarre3,تڭرّع,to burp
tfww8,tfawwa8,tfewwe8,tfawwe8,تفوّه,to yawn
chkhr,chkher,chkhar,,شخر,to snore
7sana,hsana,,,حسانة,haircut
7ssn,7ssen,,,حسّن,to shave
mchT,mcheT,mchaT,,مشط,to comb
wchm,wchem,wcham,ouchm,وشم,tattoo
khal,khala,,,خال,mole
