name,darija_name
aala,علاء
aalaa,علاء
aamir,عامر
abbas,عباس
abd elaziz,عبد العزيز
abdallah,عبد الله
abdarzak,عبد الرزاق
abdeddaym,عبد الدايم
abdeilah,عبد الإله
abdel,عبد ال
abdelaati,عبد العاطي
abdelah,عبد الله
abdelali,عبد العالي
abdelaziz,عبد العزيز
abdelazize,عبد العزيز
abdelbaqi,عبد الباقي
abdelbari,عبد الباري
abdelbassir,عبد البصير
abdelbassit,عبد الباسط
abdelfattah,عبد الفتاح
abdelghafour,عبد الغفور
abdelghani,عبد الغني
abdelhadi,عبد الهادي
abdelhafid,عبد الحفيظ
abdelhafide,عبد الحفيظ
abdelhai,عبد الحي
abdelhak,عبد الحق
abdelhakim,عبد الحكيم
abdelhakime,عبد الحكيم
abdelhalim,عبد الحليم
abdelhamid,عبد الحميد
abdelhaq,عبد الحق
abdelilah,عبد الإله
abdeljalil,عبد الجليل
abdeljamil,عبد الجميل
abdeljebbar,عبد الجبار
abdelkader,عبد القادر
abdelkarim,عبد الكريم
abdelkhaleq,عبد الخالق
abdelkrim,عبد الكريم
abdellah,عبد الله
abdellatif,عبد اللطيف
abdelmajid,عبد المجيد
abdelmalek,عبد الملك
abdelmalik,عبد الملك
abdelmjid,عبد المجيد
abdelmohaimin,عبد المهيمين
abdelmoula,عبد المولى
abdelmoumen,عبد المؤمن
abdelmounaim,عبد المنعم
abdelmounim,عبد المنعم
abdelouahab,عبد الوهاب
abdelouahed,عبد الواحد
abdelouahid,عبد الواحد
abdelouahide,عبد الواحد
abdelwahed,عبد الواحد
abdelwahid,عبد الواحد
abdelwahide,عبد الواحد
abdenbi,عبد النبي
abderahman,عبد الرحمن
abderrahim,عبد الرحيم
abderrahman,عبد الرحمن
abderrahmane,عبد الرحمن
abdessadek,عبد الصادق
abdessalam,عبد السلام
abdessamad,عبد الصمد
abdessamed,عبد الصمد
abdilah,عبد الإله
abdlfattah,عبد الفتاح
abdo,عبدو
abdou,عبدو
achraf,أشرف
adam,آدم
adil,عادل
adnan,عدنان
ahmad,أحمد
ahmed,أحمد
aimad,عماد
aissam,عصام
alal,علال
ali,علي
allal,علال
amine,أمين
amir,أمير
amjad,أمجد
anas,أنس
anass,أنس
anis,أنيس
anwar,أنور
aymane,أيمن
aymen,أيمن
ayoub,أيوب
azeddine,عز الدين
aziz,عزيز
bachir,بشير
bader,بدر
badr,بدر
badreddine,بدر الدين
barae,براء
basim,باسم
bilal,بلال
boubkar,بوبكر
boubker,بوبكر
bouchaib,بوشعيب
boujemaa,بوجمعة
brahim,إبراهيم
chakib,شكيب
charaf,شرف
charafeddine,شرف الدين
chihab,شهاب
choaib,شعيب
chouaib,شعيب
choukri,شكري
driss,إدريس
el bachir,البشير
el mahdi,المهدي
el mamoun,المأمون
fadil,فاضل
fahd,فهد
faissal,فيصل
faouzi,فوزي
farid,فريد
farouk,فاروق
fawaz,فواز
fouad,فؤاد
fouzi,فوزي
ghani,غني
ghassan,غسان
hafid,حفيظ
hamid,حميد
hamza,حمزة
haron,هارون
hasan,حسن
hassan,حسن
hassane,حسن
hatim,حاتم
hicham,هشام
houcine,حسين
houssam,حسام
houssine,حسين
ibrahim,إبراهيم
idder,إدر
idriss,إدريس
ihsan,إحسان
ilyas,إلياس
ilyass,إلياس
imran,عمران
ismail,إسماعيل
issam,عصام
jaafar,جعفر
jaafer,جعفر
jad,جاد
jamal,جمال
jaouad,جواد
jawad,جواد
jihad,جهاد
kafil,كفيل
kamal,كمال
karam,كرم
karim,كريم
khaled,خالد
khalid,خالد
khalil,خليل
latif,لطيف
lhoucine,الحسين
m3ammar,معمر
maati,معطي
mahdi,مهدي
maher,ماهر
mahmoud,محمود
majd,مجد
mamoun,مأمون
mansour,منصور
mehdi,مهدي
merouane,مروان
mhand,محند
miloud,ميلود
mimoun,ميمون
mjid,مجيد
moha,موحى
mohamed,محمد
mohammad,محمد
mohammed,محمد
mohammed amine,محمد أمين
mohcine,محسن
moncef,منصف
morad,مراد
mouad,معاذ
mouhssin,محسن
mounaim,منعم
mouncef,منصف
mounir,منير
mourad,مراد
mustapha,مصطفى
nabil,نبيل
nadim,نديم
najem,نجم
najib,نجيب
nassim,نسيم
nawfal,نوفل
nawras,نورس
nidal,نضال
nizar,نزار
noureddine,نور الدين
nowres,نورس
omar,عمر
osman,عصمان
othman,عثمان
othmane,عثمان
otman,عثمان
ouail,وائل
oussama,أسامة
outmane,عثمان
qassem,قاسم
rabie,ربيع
rachid,رشيد
rafiq,رفيق
rahim,رحيم
rayan,ريان
reda,رضا
saad,سعد
safouane,صفوان
safwane,صفوان
sahaib,صهيب
said,سعيد
salah,صلاح
salah eddine,صلاح الدين
salim,سليم
salmane,سلمان
sami,سامي
samir,سمير
sifeddine,سيف الدين
simo,سيمو
sohayb,صهيب
soufiane,سفيان
souhaib,صهيب
souhail,سهيل
soulaiman,سليمان
soulaimane,سليمان
soulaymane,سليمان
sulaiman,سليمان
taha,طه
taoufik,توفيق
taoufiq,توفيق
tarik,طارق
tariq,طارق
tayeb,طيب
toufiq,توفيق
wael,وائل
wahib,وهيب
walid,وليد
wassim,وسيم
wissam,وسام
yahya,يحيى
yanis,ينيس
yasin,ياسين
yasser,ياسر
yassin,ياسين
yassine,ياسين
yassir,ياسر
yedder,يدر
younes,يونس
youness,يونس
yousef,يوسف
youssef,يوسف
zaid,زيد
zakaria,زكرياء
zakariya,زكرياء
ziyad,زياد
zoubair,زبير
zoubir,زبير
zouhair,زهير
