n1,n2,n3,n4,darija_ar,eng
kawkab,kaoukab,,,كاوكاب,planet
9aarra,9arra,qaarra,,قارّا,continent
ifri9ia,ifriqia,,,إفريقيا,africa
europa,oroppa,,,إوروپا,europe
blad,bilad,,,بلاد,country
dawla,doula,dola,dowla,داولا,country
mghrib,maghrib,,,مغريب,morocco
ssa3oudia,,,,الساعوديا,saudi arabia
9atar,,,,قاتار,qatar
imarat,,,,إمارات,emirates
dzair,,,,دزاير,algeria
jaza2ir,ljaza2ir,ljazayr,,جازاإر,algeria
fransa,,,,فرانسا,france
Sbania,,,,صبانيا,spain
brT9iz,lbart9iz,,,برطقيز,portugal
bortoghal,lbortoghal,,,بورتوغال,portugal
almania,almanya,,,ألمانيا,germany
swisra,souisra,,,سويسرا,switzerland
japoun,jjapoun,jjapon,,جاپون,japan
mirikan,lmirikan,,,ميريكان,united states
ngliz,negliz,ingliz,,نڭليز,united kingdom
bljika,beljika,baljika,,بلجيكا,belgium
talyan,talian,,,تاليان,italy
misr,misra,mesr,maSr,ميسر,egypt
touns,,,,تونس,tunisia
moritania,mouritania,,,موريتانيا,mauritania
filistin,filistine,,,فيليستين,palestine
chinwa,,,,شينوا,china
SSin,,,,الصين,china
younan,yonan,,,يونان,greece
mdina,madina,,,مدينا,city
3aSima,3aaSima,,,عاصيما,capital
fas,faas,fes,,فاس,fez
sla,sala,,,سلا,salé
mknas,meknes,meknas,meknes,مكناس,meknes
oujda,wejda,ouajda,wjda,وجدا,oujda
9niTra,qniTra,,,قنيطرا,kenitra
agadir,,,,أڭادير,agadir
tetouan,TiTwan,TeTwan,titouan,تتوان,tetouan
tmara,temara,,,تمارا,temara
asfi,safi,,,أسفي,safi
mo7mmadia,mohammadia,mo7mmedia,mohmmedia,موحمّاديا,mohammedia
khribga,khouribga,khoribga,,خريبڭا,khouribga
kaza,casa,,,كازا,casablanca
darbida,ddar lbida,dar bida,,داربيدا,casablanca
Tanja,,,,طانجا,tangier
mrrakch,mrrakech,mrrakach,,مرّاكش,marrakech
rbaT,,,,رباط,rabat
jdida,el jadida,jjdida,,جديدا,el jadida
bnimllal,bni mllal,bni mellal,bani mellal,بنيملّال,beni mellal
ait melloul,,,,أيت ملّول,ait melloul
nnador,nador,,,النادور,nador
dar bo3zza,dar bouazza,darbo3zza,dar bo3za,دار بوعزّا,dar bouazza
taza,,,,تازا,taza
settat,sttat,stat,,ستّات,settat
berrchid,brrchid,brchid,,برّشيد,berrechid
khmisat,khemisset,khomisat,lkhmisat,خميسات,khemisset
inzggan,inzegane,inezgane,inezgan,إنزڭّان,inezgane
9Sr lkhbir,l9Ser lkbir,9Sar lkbir,9Ser el kabir,قصر لخبير,ksar el kabir
l3raich,l3raych,laaraich,,لعرايش,larache
glmim,golmim,guelmim,glimim,ڭلميم,guelmim
khnifra,khonifra,khenifra,,خنيفرا,khenifra
brkan,berkane,berkan,,بركان,berkane
taourirt,tawrirt,,,تاوريرت,taourirt
boskkora,boskora,bouskoura,bouskora,بوسكّورا,bouskoura
lf9ih bn Sal7,f9ih bn Sal7,lf9ih ben sale7,f9ih ben Salh,لفقيه بن صالح,fqih ben saleh
dchira,dcheira,dchyra,,دشيرا,dcheira
wadzm,wad zem,ouad zem,oued zem,وادزم,oued zem
