n1,n2,n3,n4,darija_ar,eng
7jjam,7ejjam,7ajjam,hajjam,حجّام,barber
7lla9,7ella9,7alla9,hallaq,حلّاق,barber
gzzar,guezzar,gazzar,,ڭزّار,butcher
Tbib,,,,طبيب,doctor
frmlia,fermlia,farmlia,,فرملية,nurse
modir,moudir,,,مدير,director
fnnan,fennan,fannan,,فنّان,artist
trisyan,trician,,,تريسيان,electrician
mo8ndis,mohndis,,,مهندس,engineer
flla7,fella7,falla7,fllah,فلّاح,peasant
Sa7afi,Sahafi,,,صحفي,journalist
9aDi,qaDi,,,قاضي,judge
mo7ami,mou7ami,mohami,,محامي,lawyer
mikanisyan,mikanician,mecanician,,ميكانيسيان,mechanic
wakil,ouakil,,,وكيل,prosecutor
bolisi,bolissi,,,بوليسي,cop
jadarmi,,,,جدارمي,gendarme
rssam,rassam,,,رسّام,painter
moSwwir,moSwwer,moSwir,moSwer,مصوّر,photographer
srbay,serbay,sarbay,,سرباي,waiter
srbaya,serbaya,sarbaya,,سرباية,waitress
khyyaT,khiaT,5ayyaT,khayyaT,خيّاط,tailor
safir,safyr,,,سفير,ambassador
mostachar,mostachaar,,,مستشار,advisor
plombi,,,,پلومبي,plumber
mo9awil,,,,مقاول,entrepreneur
mowDDaf,,,,موضّف,employee
sikritira,,,,سكرتيرة,assistant
khDDar,,,,خضّار,greengrocer
njjar,,,,نجّار,carpenter
7rayfi,,,,حرايفي,craftsperson
Sbbagh,,,,صبّاغ,painter
n77at,,,,نحّات,sculptor
mol ddjaj,,,,مول الدجاج,poultryman
mol l7out,,,,مول لحوت,fishmonger
moSwwir,,,,مصوّر,photographer
oustad,ostad,,,أستاذ,professor
mol taxi,,,,مول طاكسي,Taxi driver
chifour,chifor,,,شيفور,driver
kherraz,khrraz,5rraz,5erraz,خرّاز,shoemaker
mol lmSbana,,,,مول لمصبانة,
gbbaS,,,,ڭبّاص,
jlayji,,,,جلايجي,
