n1,n2,n3,n4,darija_ar,eng
riaDa,ryaDa,,,رياضا,sport
kora,koura,lfout,,كورا,soccer
box,boux,,,بوش,boxing
jjra,,,,الجرا,jogging
tirane,tiran,lmel3eb,,تيران,stadium
touni,ttouni,,,توني,shirt
ligat,lligat,,,ليڭات,gloves
lasal,lassal,,,لاسال,gym
l7did,le7did,la7did,,لحديد,bodybuilding
mo3lli9,mo3alli9,,,موعلّيق,sports commentator
8iwaya,8iwaia,,,هيوايا,hobby
lo3ba,,,,لوعبا,game
fr9a,fer9a,far9a,farqa,فرقا,team
8adaf,,,,هاداف,goal
goul,gol,l7aris,,ڭول,goalkeeper
mo8ajim,,,,موهاجيم,attacker
modafi3,,,,مودافيع,defender
7akam,hakam,,,حاكام,referee
modrrib,modarrib,modarib,,مودرّيب,coach
kofra,,,,كوفرا,free kick
mobachir,,,,موباشير,live
rb7,rba7,rbe7,rbah,ربح,win
khsr,5sar,khasara,,خسر,lose
ta3adoul,ta3adol,,,تاعادول,a tie
3oman,3ouman,3oumane,,عومان,swimming
karta,carta,,,كارتا,cards
ghchach,ghchchach,,,غشاش,cheater
7fla,7afla,7efla,hafla,حفلا,party
siba9,sibaq,,,سيباق,race
boTola,lboTola,boToula,,بوطولا,league
boTola,lboTola,boToula,,بوطولا,championship
baskit,basket,,,باسكيت,basketball
bizbol,,,,بيزبول,baseball
kas,kass,,,كاس,cup
kasl3alam,kas l3alam,,,كاسلعالام,world cup
rigbi,rrigbi,regbi,regby,ريڭبي,rugby
chTrnj,chTranj,chaTranj,cheTranj,شطرنج,chess
stronj,,,,سترونج,chess
