english,darija,darija_ar
"They're hiding something, I'm sure!","homa mkhbbyin chi haja, ana mti99en!","هوما مخبّيين شي هاجا, أنا متيقّن! "
It's obvious they're trying to keep their cool.,bayna homa tay7awlo ib9aw mbrrdin.,باينا هوما تايحاولو إبقاو مبرّدين. 
the hotels don't seem very comfortable.,loTilat mabaynach fihom mori7in bzzaf.,لوطيلات مابايناش فيهوم موريحين بزّاف. 
he is probably about to be laid off by head office!,ghaliban ghayjrriw 3lih mn lkhdma!,غاليبان غايجرّيو عليه من لخدما! 
of course he's depressive!,Tab3an rah mkta2eb!,طابعان راه مكتاءب! 
I think I'm going to leave!,tayballia ghanmchi!,تايبالّيا غانمشي! 
hand me that bag.,ara lia dak sac.,أرا ليا داك ساك. 
I'm going to be sick!,ghanmreD!,غانمرض! 
I always knew she wanted us dead,knt dima 3arf annaha bghatna nmoutou,كنت ديما عارف أنّاها بغاتنا نموتو 
I'd like to know how much time I have left to study,bghit n3ref ch7al b9a lia tlwe9t bach n9ra,بغيت نعرف شحال بقا ليا تلوقت باش نقرا 
"We will have an exam, if that is what you mean","ghaykon 3ndna mti7an, ala hadchi lli 9Sedti","غايكون عندنا متيحان, ألا هادشي اللي قصدتي "
"Next week, on Thursday","ssimana jjaya, nhar lkhmis","السيمانا الجايا, نهار لخميس "
We will cover all the material up to next Tuesday,ghanghTTiw ga3 lmawad tal tlat jjay,غانغطّيو ڭاع لماواد تال تلات الجاي 
so start studying soon!,ewa bda l9raya bkri!,إوا بدا لقرايا بكري! 
"Okay, if I have any questions, could I email them to you?","wakha, ala 3ndi ay as2ila, wach nsifthom lik f email?","واخا, ألا عندي أي أسإلا, واش نسيفتهوم ليك ف إمايل? "
But I will only answer them during working hours,walakin ghanjawb 3lihom fl aw9at t lkhdma,والاكين غانجاوب عليهوم فل أوقات ت لخدما 
so please don't send them late on Wednesday evening,idan 3afak matsifthomch m3TTel nhar larb3 bl3chia,إدان عافاك ماتسيفتهومش معطّل نهار لاربع بلعشيا 
"Thank you, ma'am","chokran, a lalla","شوكران, أ لالّا "
what is that meant to be?,ach kay3ni hadchi?,أش كايعني هادشي? 
how is your book going to help me calm down,kifach ktabk ghay3awnni nt8dden,كيفاش كتابك غايعاونّي نتهدّن 
I'm talking about Marrakech,tan8Dr 3la mrrakch,تانهضر علا مرّاكش 
we're both scared of flying,bjojna tankhafo mn TTayaran,بجوجنا تانخافو من الطاياران 
isn't it!,awlla!,أولّا! 
and since when have sleeping helped anyone?!,o mnimta bssalama nn3as kan kay3awen chi wahd?!,أُ منيمتا بسّالاما النعاس كان كايعاون شي واهد?! 
I knew it!,knt 3arfha!,كنت عارفها! 
oh god!,a rebbi!,أ ربّي! 
it's all your fault,hadchi kollo lghalaT dyalk,هادشي كولّو لغالاط ديالك 
And in case of accidents we're supposed to do what?,w f7alat w93at ksida ach khssna ndiro?,و فحالات وقعات كسيدا أش خسّنا نديرو? 
why did you bring a tree onto the plane?!,lach jbti m3ak chjra l Tyyara?!,لاش جبتي معاك شجرا ل طيّارا?! 
are you crazy!,wach nti 7m9a!,واش نتي حمقا! 
I suggest you listen more and talk less,tan9tar7 annak tsm3 ktr o thdr 9ell,تانقتارح أنّاك تسمع كتر أُ تهدر قلّ 
I have to go now,khssni nmchi daba,خسّني نمشي دابا 
and how long have you been in charge?,o ch7al hada bach nta mkellef?,أُ شحال هادا باش نتا مكلّف? 
"I said celery, can't you listen","glt lik lkrafs, wach matatsme3ch","ڭلت ليك لكرافس, واش ماتاتسمعش "
"Can I add some pear, too?",wakha nzid chi bou3wid tahoa?,واخا نزيد شي بوعويد تاهوا? 
"Okay, I'm with you","layskher, ana m3ak","لايسخر, أنا معاك "
It's been ten years,wa rah 3chr snin hadi,وا راه عشر سنين هادي 
What do you want with it?,ach bghiti m3ah?,أش بغيتي معاه? 
please could you just close the window,3afak wakha tsedd chrjem m3ak,عافاك واخا تسدّ شرجم معاك 
just get on and don't talk so much,wa hir tl9na o baraka mn l8Dra,وا هير تلقنا أُ باراكا من لهضرا 
Don't you think?,wach matatfkkerch?,واش ماتاتفكّرش? 
she is getting married next week.,rah ghatjowwej simana jjayya.,راه غاتجووّج سيمانا الجايّا. 
They got married very young,tjowwjo Sghar bzzaf,تجووّجو صغار بزّاف 
He is married to a lawyer in Tangier.,hoa mjowwej b mo7amia mn Tanja,هوا مجووّج ب موحاميا من طانجا 
Do not say,matgolch,ماتڭولش 
Now he spends a lot of time home,daba kaydowwez bzzaf tlwe9t fddar,دابا كايدووّز بزّاف تلوقت فدّار 
if that is what you mean,ala kan hadchi lli kat9Sed,ألا كان هادشي اللي كاتقصد 
they would traditionally be boiled and served with vinegar,3aadatan ghaytghlaw wit7eTTo m3a lkhell,عاداتان غايتغلاو ويتحطّو معا لخلّ 
how big is it?,gddach?,ڭدّاش? 
is it big?,wach kbir?,واش كبير? 
we are not preparing an italian meal,maghanTyyboch makla Talyania,ماغانطيّبوش ماكلا طاليانيا 
this will be a proper moroccan meal,hada ghaykon Taba9 mghribi 7orr,هادا غايكون طاباق مغريبي حورّ 
"Beets are good, but it might give you a sweet taste.","lbarba zwina, walakin t9dr t3Tik wa7d lmada9 7lou","لباربا زوينا, والاكين تقدر تعطيك واحد لماداق حلو "
long ones of course,TTwal b Tabi3t l7al,الطوال ب طابيعت لحال 
"Do you want french fries with them, too?","bghiti bTaTa frit m3ahom, ta8ia?","بغيتي بطاطا فريت معاهوم, تاهيا? "
how about going to the cinema?,o ach ballik nmchiw l cinema?,أُ أش بالّيك نمشيو ل سينما? 
Unless you have anything else you would like to add,ma3ada ala 3ndk chi haja khra bghiti tzid8a,ماعادا ألا عندك شي هاجا خرا بغيتي تزيدها 
enjoy!,tberre3 lia m3a rask!,تبرّع ليا معا راسك! 
do not hesitate to come back to me,matreddedch trje3 3ndi,ماتردّدش ترجع عندي 
"Now, I think I've got everything we need to solve this problem",daba tayballia 3ndi ga3 dakchi lli tan7taj bach n7ell had lmochkil,دابا تايبالّيا عندي ڭاع داكشي اللي تانحتاج باش نحلّ هاد لموشكيل 
I was going to suggest that too,knt ghan9tare7 hadchi ta8owa,كنت غانقتارح هادشي تاهووا 
let me tell you something,khllini ngollik wa7d l7aja,خلّيني نڭولّيك واحد لحاجا 
sometimes we laugh sometimes we cry,b3d lmrrat tanD7ko b3d lmrrat tanbkiw,بعد لمرّات تانضحكو بعد لمرّات تانبكيو 
"I'll tell you one thing, I like it!","ghangollik wahd lhaja, kat3jbni!","غانڭولّيك واهد لهاجا, كاتعجبني! "
"Yeah, I'm gonna do that, too.","wayeh, ghandir hadchi tahoa","وايه, غاندير هادشي تاهوا "
just before going to bed,hi 9bl manmchi nn3ess,هي قبل مانمشي النعسّ 
please respect the rules,3afak 7tarem l9awa3id,عافاك حتارم لقاواعيد 
I'm sure it'll be better soon.,ana mt2ekked ghat7essen 9ariban,أنا متءكّد غاتحسّن قاريبان 
As you suggested,kimma 9tar7ti,كيمّا قتارحتي 
basically you are under stress now,asaasan nta t7t DDaghT daba,أساسان نتا تحت الضاغط دابا 
which happens to many people theses days,hadchi tayo93 l 3adaad mn nnas had lyamat,هادشي تايوقع ل عاداد من الناس هاد ليامات 
Meanwhile you don't have a problem with your brain,fnfs lwe9t ma3ndkch mochkil fdmaghk,فنفس لوقت ماعندكش موشكيل فدماغك 
as you say,kimma katgoul,كيمّا كاتڭول 
