"english","darija"
"This is not a good start to the day","Hadi machi bedia zina l nhar"
"As you say.","klamk howa lkbir"
"I ve got so much to do today, you know there are tight deadlines for that project","3ndi bezzaf maydar lyouma, rak 3arf lw9t mziyer f had l projet"
"Let's see if anything happens quickly.","nchoufo ila trat chi 7aja b zerba"
"I wish I had climbed the stairs","kantmenna koun tl3t f droj"
"It's true that this project is late.","bessa7 had l projet m3ettel"
"Do you do a lot of sports?","wach kadir riyada bezzaf?"
"Oh you are so funny","nta kadde7ek bezzaf"
"You do push my buttons sometimes","kat3essebni chi merrat"
"There are several hundred employees in this company, can't I know the location of everyone's office?","kayn lmi2at dial nass kheddamin f had charika, wach momkin n3rf fine ja l bureau dial kola wa7d?"
"I appreciate that","kan9edder hadchi"
"Anyway, I always take the elevator.","lmohim, ana dima kanst3ml ssanssour"
"And by some miracle it never broke down with me in it again.","o b7al chi mo3jiza, ma3emro khser o ana fih ba9i"
"Until now.","7tal daba"
"But if you concentrated on getting a good maintenance contract with the lift engineers we would not be on this position","walakin koun rekkezti 3la annak dir contra dial l isla7 mezian m3a mmaline lassanssour kon ga3 ma wslna l had l7ala hadi"
"Yes, I know I've been renewing this contract for a long time.","ayeh, 3reft ch7al men 3am wana kanjedded f had l contra"
"But, you know, my schedule is absolutely full, I never have time to deal with these practical details.","walakin, rak 3arf, lw9t diali 3amr, makaykonch 3ndi lw9t bach n9abl had tafassil"
"Okay, we talk, we talk, but we're still stuck.","wakha, kanhDro, kanhDro, walakin ha7na mazal wa7lin"
"I'm gonna push the backup button.","ghadi nwerrek 3la l boTon dial sovgard"
"I pushed the emergency button half an hour ago","werrekt 3la l boTon dial lurgence ness sa3a hadi"
"Nothing is happening","ta7aja ma wa93a"
"Are you picking up the network with your phone?","wach 3ndk reseau f tilifounk?"
"I ve also tried my phone but that is not connecting","jerrebt b tilifouni sa3a tahowa mafihch reseau"
"Neither is mine.","wala diali tahowa"
"Well, we need to figure this out.","iwa, khasna nl9aw chi 7el"
"Do you know how to scream very loud, or sing very loud?","wach kat3rf kifach tghouwet bejjehd, wla tghenni bejjehd"
"I am getting fed up now","tel3at lia l9erda daba"
"Yeah, me too, to be honest.","wayeh, tana, assara7a"
"If we have to stay here much longer, you can work.","ila kan khasna nb9aw hna kter, ymken lik tkhdem"
"I only have my book, and I'm almost done.","3ndi ghi ktabi, o 9errebt nsalih"
"Well I can tell you for nothing I am not going to work in here","lmohim n9der ngoulik annaho maymkench nkhdm hna wakha ma3arft ach"
"He would have yelled at me, with no respect for his boss.","kan ghadi yghowet 3lia, bla 7ta 7tiram l modir dialo"
"I m very tempted to yell too","tana tchehit nghowet"
"Maybe I will and someone might hear us and come to the rescue","wa9ila ndirha o chi wa7d aysm3na o yji y3t9na"
"Yes, go ahead, we can try!","ayeh, sir 3ellah, njerbo!"
"Aaaaaaah,","Aaaaaaah"
"You're shaking, are you okay?","katre33ed, yak chi bass makayn?"
"Really?","bessa7?"
"I'm pretty stressed, too, you know that a plane went down just yesterday in Texas?","tana mstressi, frask wa7d tiyara ta7t lbar7 f Texas?"
"So we're in the same situation.","idan 7na f nefs l7ala"
"My doctor has given me some pills to calm me down but they don't seem to be working.","Tbib diali 3tani chi fanid bach ycalmini sa3a ban lia ma kheddamch"
"Look, my hands are shaking, too.","chouf ydiya kaytre3do tana"
"Good idea!","fikra meziana!"
"Are you travelling for work or a holiday?","msafr 3la wed lkhdma wla 3otla?"
"I'm visiting a friend.","ghadi nzour wa7d ssadi9a"
"I hope she's there to collect me when I arrive.","3ellah tkon katsenani fach nwsl."
"Oh, no.","hal3ar tellah"
"Your friend will probably be here, why?","Sadi9a dialk atkon hna flghalib, 3lach?"
"Unless she has a car accident, of course.","ma3ada ila dart chi ksida b tomobil, btabi3t l7al"
"Well I hope not, otherwise I don't know what I'll do!","kantmena maytrach hadchi, wa illa maghadich n3rf ach andir"
"I'll be all alone in a strange country.","ankon bo7di f blad makan3rf fiha tawa7d"
"And I don't speak the language.","o makanhderch allougha"
"Thank you!","chokran"
"Never mind.","machi mochkil"
"I'm scared.","ana mkhlou3"
"I don't know.","ma3reftch"
"You look like you know the outdoors better than me.","ban lia rak 3arf lkharj 7sen menni"
"I've already cut my knee on a twig and grazed my head too.","jre7t rkbti b wa7d l3rch o 9mecht rassi tahowa"
"That's sad!","hadchi mo7zin"
"But don't worry!","mathezch lhem"
"The medicinal herbs will allow you to heal and get back on your feet!","l3shoub ghadi y3awnouk bach tbra o t3awd twguef 3la rjlik"
"We're going to get these herbs and try to make it an ointment.","anmchiw njibo had l3shoub o n7awlo nsaybo bihom dwa"
"No.","la"
"Or make a cry for help with a big fire.","wla ymken lina nTlbo lmossa3ada b chi 3afia kbira"
"You're full of ideas today!","3ndek bezzaf dial l afkar lyouma!"
"But you do seem a bit unrealistic.","walakin benti lia chwia machi wa9i3i"
"But, yes, fire can serve us.","walakin, ayeh, l3afia t9der tnf3na"
"Do you have any other ideas that come to mind?","wach 3ndk chi afkar khrin jawk f rask?"
"We could just sit here and wait for somebody to find us.","n9dro nguelso hna o ntsenaw chi wa7d yl9ana"
"I'm tired.","3yit"
"I could watch you make a fire!","n9der ntferej fik katch3el l3afia"
"Now that's a good idea!","daba hadi fikra meziana"
"Why bother?","3lach l3adab?"
"I'm never going to pass, so I might as well give up now.","ma3mrni ghadi nje7, 7sen lia ndir bna9S mn daba"
"You have all the ability to succeed.","kolkom 3ndkom l9odra bach tnj7o"
"Don't be discouraged.","matf9dch l amal"
"How do you know that?","bach 3refti hadchi?"
"You're not in my head!","nta ma dakhelch lia l rassi"
"Your copies and your questions show that you're brilliant.","lwra9 dialk o l as2ila dialk kaybiyno annak dki"
"I bet you say that to everybody.","flghalib katgoul hadchi l kolchi"
"I'm rubbish at maths, rubbish at science.","ana zreg flmath, zreg f SionS"
"And I just glued my hand to the desk in Art.","o yallah lesse9 ydi f tbla fl7issa dial tafatto7 lfanni"
"There's an internship next week.","kayn wa7d stage assimana ajjaya"
"He might make you feel better.","ymken yfowej 3lik"
"You can ask all the questions that will be left after your studying this weekend.","ymken lik tsowel ga3 l as2ila li b9aw mora mat9ra had l weekend"
"What do you mean?","ach kat9SeD?"
"Who am I going to ask?","chkon ghadi nsowl?"
"I don't even think I'll have any questions 'cause I understand so little.","mo7al 7ta wach aykon 3ndi chi so2al 7it kanfhm ghir chwia"
"All the teachers will be available.","ga3 l asatida ghadi ykono moujoudine"
"Start with simple questions.","bda bl as2ila lbaSita"
"Why me?","3lach ana?"
"Like that?","b7al hakka?"
"On top of that, there will be cake in this review internship.","o foug hadchi, ghadi tkon l7lwa f had stage"
"As a consolation, right?","bach nberdo 3la rasna yak?"
"And, seriously, do you ever really use anything you learnt in class?","o, blm39ol, wach 3mrek bessa7 kheddemti chi 7aja 9ritiha fl 9ism?"
"Are you sure about that?","wach nta mt2ekked?"
"On what part of the program do you think you're lost?","f ina blassa fl mo9errar kayban lik rask mweDDer?"
"Where do I start?","mnin nbda?"
