"darija","eng"
"b9a fia","I empathize with him"
"b9at fia","I empathize with her"
"moul dar","husband"
"moulat dar","wife"
"7ass brasou","arrogant"
"ch7al hada","a while ago"
"maf8mtch","I did not understand"
"chno smitk","what is your name"
"Sba7 lkhir","good morning"
"nDrbo tsrkila","take a walk"
"3la ghfla","sudden"
"ach kat3awd","what s up"
"ach kat3awd","how are you"
"a fink","where are you"
"fin ghadi","where are you going"
"7bibi","my dear"
"a8lan wa sa8lan","hello welcome"
"Sba7 lkhir","good morning"
"msa lkhir","good evening"
"tSb7 3la khir","good night"
"hamdolah","thanks god"
"ki ghadya l omor","how are things going"
"ach khbark","how are things going"
"mtchrrfin","nice to meet you"
"Tri9 ssalama","have a nice trip"
"afin akhona","how are you brother"
"allah iktter khirk","thank you"
"la chokra 3ala wajib","you are welcome"
"l3afw","you are welcome"
"sm7 lia","sorry"
"maykon bas","good recovery"
"allah iyesser","good luck"
"mbrouk","congratulations"
"bS77a","your good health"
"39balik","I wish the same for you"
"ajarakom allah","my condolences"
"allah ir7mo","god have mercy on him"
"rdd lbal","be careful"
"hadchi fchkel","this is weird"
"hania","do not worry"
"kolchi wajd","everything is ready"
"3jbatni","I like her"
"3jbni","I like him"
"daba n3yyeT lik","I will call you"
"daba nkhllS","I will pay"
"daba njerr m3ak","I will go with you"
"ana mghbribi","I am moroccan"
"jani lbrd","I am cold"
"ana bikhir","I am good"
"mamt2kkedch","not sure"
"safi nsa","never mind"
"mrra khra","next time"
"8Dra khawya","nonsense"
"wach bSS7","really"
"nchoufouk","see you"
"hani jay","I will be back"
"makhddamch","does not work"
"ch7al f ssa3a","what time is it"
"tb3ni","follow me"
"wSlti","have you arrived"
"fin knti","where were you"
"3lach lla","why not"
"fkkrni","remind me"
"ch7al dayra hadi","how much is this"
"tfDDl","please come in"
"ach kayn","what is wrong"
"kolla nhar","every day"
"wach nta","are you"
"wach t9dr","can you"
"dwwr lia","give me a call"
"yallah","let us"
"fink","where are you"
"fin khddam","where do you work"
"kolchi hoa hadak","is everything ok"
"wach kayna chta","is it raining"
"wach kayn lberd","is it cold"
"wach b3id","is it far"
"wach skhoun","is it hot"
"wach ntsnna","should I wait"
"ach hadchi","what is this"
"mnin nta","where are you from"
"finahoa","where is he"
"chkon fihom","which one"
"kidayr l jow","how is the weather"
"ana wajd","I am ready"
"chttha","I have seen it"
"kayna chchta","it is raining"
"mcha l7al","it is too late"
"ma3rftch","I do not know"
"mllit","I am bored"
"3yit","I am tired"
"khssni nmchi","I need to go"
"ma3mmrni","I have never"
"3ndk l7e99","you are right"
"lli fat","past"
"ghayr 3adi","unusual"
"3ndo 9ima","valuable"
"3la ghfla","sudden"
"dyal DDo","electric"
"makaytSenne3ch","cool"
"Tal3 lih demm","mad"
"mannsach khir","I am grateful"
"mn l9oroun lwosTa","medieval"
"w9t kaml","full-time"
"dyal lm3da","gastric"
"momkin it9arn","comparable"
"fia jjo3","I am hungry"
"fia l3Tech","I am thirsty"
"fayt l9yas","excessive"
"3llmada l9aSir","short-term"
"sa8l toSl lih","accessible"
"a9all 7edd","minimal"
"ma3ndo a8ammia","irrelevant"
"3ndo a8ammia","relevant"
"ma3ndo 9ima","useless"
"3ndo 9ima","worthy"
"3ndo zz8er","lucky"
"9aDi lgharad","satisfactory"
"n8ar 3la n8ar","day-to-day"
"mchkok fih","doubtful"
"maymknch tyye98a","incredible"
"dayr ttaman","costly"
"mntachr bzzaf","large-scale"
"t7t larD","underground"
"3ndo m3na","meaningful"
"fih SSda3","noisy"
"fih ddajij","noisy"
"3ndo lmana3a","immune"
"ma3ndo m3na","absurd"
"ma3ndo tta m3na","absurd"
"ghayr msbou9","unprecedented"
"ma3ndo taman","invaluable"
"9bl lwe9t","premature"
"mabghah 7dd","unwanted"
"mabghah tta 7dd","unwanted"
"khda b3in l i3tibar","consider"
"Tle3 b","it cost"
"Tl3 3lia b","it cost me"
"ba3 o chra","trade"
"makayn bas","no worries"
"ma3ndi mangol","perfect"
"fikra zwina","good idea"
"dakchi 3lach","that's why"
"lli khddamin m3aya","my colleagues"
"kolla ch8r","monthly"
"kolla nhar","daily"
"kolla 3am","yearly"
"kolla simana","weekly"
"kolla sa3a","hourly"
"kolla sa3a","each time"
"wijhat naDar","point of view"
"chi bas makayn","that's okay"
"3rfti chno","you know"
