"n1","n2","n3","n4","eng"
"riaDa","ryaDa","","","sport"
"kora","koura","","","soccer"
"box","boux","","","boxing"
"jjra","","","","jogging"
"tirane","tiran","","","stadium"
"touni","ttouni","","","shirt"
"ligat","lligat","","","gloves"
"lasal","lassal","","","gym"
"l7did","le7did","la7did","","bodybuilding"
"mo3lli9","mo3alli9","","","sports commentator"
"8iwaya","8iwaia","","","hobby"
"lo3ba","","","","game"
"fr9a","fer9a","far9a","farqa","team"
"8adaf","","","","goal"
"lgoul","lgol","","","goalkeeper"
"mo8ajim","","","","attacker"
"modafi3","","","","defender"
"7akam","hakam","","","referee"
"modrrib","modarrib","modarib","","coach"
"kofra","","","","free kick"
"mobachir","","","","live"
"rb7","rba7","rbe7","rbah","win"
"khsr","5sar","khasara","","lose"
"ta3adoul","ta3adol","","","a tie"
"3oman","3ouman","3oumane","","swimming"
"karta","carta","","","cards"
"ghchach","ghchchach","","","cheater"
"7fla","7afla","7efla","hafla","party"
"siba9","sibaq","","","race"
"botola","lbotola","","","league"
"baskit","","","","basketball"
"bizbol","","","","baseball"
"kas","kass","","","cup"
"kasl3alam","kas l3alam","","","world cup"
"rigbi","rrigbi","","","rugby"
"chTrnj","chTranj","chaTranj","cheTranj","chess"
