n1,n2,n3,n4,darija_ar,eng
dima,dayman,da2iman,daiman,ديما,always
machi,,,,ماشي,not
ghaliban,ghaaliban,,,غالبا,often
9ariban,9aryban,qaryban,qariban,قريبا,soon
bkri,bekri,barki,,بكري,early
bchwia,,,,بشويا,slowly
bl8adawa,,,,بلهداوة,carefully
imkn,yemken,imken,,يمكن,perhaps
8na,,,,هنا,here
8naya,,,,هنايا,here
l8i8,lhih,,,لهيه,there
9rib,,,,قريب,nearby
lfo9,lfou9,lfog,lfoug,لفوق,upstairs
mn b3d,men be3d,mn be3d,,من بعد,later
daba,,,,دابا,now
chwia,,,,شويا,a little
bzzaf,bzaf,,,بزّاف,a lot
kolliyan,,,,كلّيا,totally
flblaSa,,,,فلبلاصا,instantly
t9riban,ta9riban,te9riban,taqriban,تقريبا,almost
mrra mrra,,,,مرّة مرّة,sometimes
b3d lmrrat,b3d lmerrat,be3d lmerrat,ba3d lmarrat,بعد لمرّات,sometimes
naadiran,nadiran,,,نادر,rarely
walakin,,,,و لكن,however
walakin,,,,و لكن,but
zid 3liha,,,,زيد عليها,in addition
kafi,kaafi,,,كافي,enough
ga3,,,,ڭاع,never
batatan,,,,بتاتا,never
dghya,deghya,dghia,daghya,دغيا,quickly
bzzrba,bzzerba,bzzarba,bzerba,بزّربة,quickly
9bel,9bl,,,قبل,before
mnb3d,mn b3d,mn be3d,mnbe3d,منبعد,after
mazal,,,,مازال,still
mazal,,,,مازال,yet
akhiran,,,,أخيرا,finally
7rfyyan,7arfyyan,7erfian,7arfian,حرفيّا,literally
ghaliban,ghaaliban,,,غالبا,probably
yawmian,yawmiyyan,yawmyyan,,يوميا,daily
mo2khkharan,mo2kharan,mo255aran,,مؤخرا,recently
mjmou3in,mjmo3in,mejmou3in,mejmo3in,مجموعين,together
Sara7atan,Saraa7atan,,,صراحة,frankly
bisalam,bi salam,,,بسلام,safely
3awttani,3awtani,3awdtani,3awd tani,عاوتّاني,again
lil2asaf,lil asaf,lilasaf,,للأسف,unfortunately
khoSoSan,khoSouSan,,,خصوصا,especially
za2id,,,,زائد,also
bzzaf,bzaf,bezzaf,bezaf,بزّاف,very
bzzaf,bzaf,bezzaf,bezaf,بزّاف,too
3adatan,3aadatan,,,عادة,usually
bi basaTa,b basaTa,bibasaTa,,ببساطة,simply
3ammatan,3aammatan,3amatan,,عامّة,generally
fl7a9i9a,fl 7a9i9a,fel7a9i9a,fel 7a9i9a,فلحقيقة,actually
bl a7ra,bl2a7ra,bl a7raa,,بالأحرى,rather
abadan,,,,أبدا,ever
sabi9an,saabi9an,sabiqan,,سابقا,already
dirikt,dirict,direct,,ديريكت,directly
idan,2idan,,,إدن,therefore
akhr,akhor,akher,,أخر,else
bttali,bittali,,,بتّالي,thus
bso8oula,bso8ola,bsou8oula,bsohoula,بسهولة,easily
flkhr,flkher,flekher,fllekher,فلخر,eventually
tamaman,tamaaman,,,تماما,exactly
9aT3an,,,,قطعا,certainly
3adatan,3aadatan,,,عادة,normally
7alian,7alyan,7aalian,7aliyan,حاليا,currently
bzzaf,bzaf,bezaf,bezzaf,بزّاف,extremely
bstimrar,b stimrar,bistimrar,bi stimrar,باستمرار,constantly
bl9a3ida,bel9a3ida,,,بالقاعدة,properly
khaSatan,khaaSatan,khaSSatan,,خاصة,specifically
lgddam,l9ddam,lgeddam,l9eddam,لڭدّام,ahead
flblaSa,flblasa,felblasa,felblaSa,فلبلاصة,immediately
nisbyan,nisbyyan,nisbian,nisbiyan,نسبيا,relatively
bl3adl,bl 3adl,b l3adl,bel3adl,بلعدل,fairly
awwalan,awalan,,,أوّلا,primarily
blkamil,belkamil,bl kamil,bel kamil,بلكامل,completely
blm39ol,blm39oul,belm39oul,belm39ol,بلمعقول,seriously
3omoman,3omouman,,,عموما,mostly
Tab3an,,,,طابعا,naturally
t9riban,ta9riban,t9ryba,te9riban,تقريبا,nearly
a7yanan,,,,أحيانا,occasionally
bchwia,bchwiyya,bchwyya,bchwya,بشوية,carefully
bwoDou7,bwoDo7,,,بوضوح,clearly
asasan,asaasan,,,أساسا,essentially
gdgd,gedged,gd gd,gddgdd,ڭدڭد,equally
bDDarora,bdarora,bDarora,bDDaroura,بضّرورة,necessarily
chkhSyya,chkhSyan,chkhSian,chakhSyyan,شخصيّا,personally
bntiDam,bintiDam,b ntiDam,,بنتضام,regularly
b7al,,,,بحال,similarly
fl asas,fl2asas,fel asas,fel2asas,فل أساس,basically
fi3lian,fi3lyyan,fi3liyyan,fi3liyan,فعليا,effectively
flbdya,fl bdya,f lbdya,felbdia,فلبدية,initially
3l 3omoum,3ll 3omoum,3l3omom,3ll 3omom,عل عموم,mainly
aSlan,,,,أصلا,originally
joj mrrat,jojmrrat,jouj mrrat,,جوج مرّات,twice
finmma,finemma,,,فينمّا,everywhere
bayna,,,,باينة,obviously
bnaja7,b naja7,binaja7,bi naja7,بنجاح,successfully
faj2atan,,,,فجأة,suddenly
Sara7atan,Saraa7atan,,,صراحة,truly
otomatikyan,automatikian,otomatikian,,أُتوماتيكيا,automatically
b3om9,b 3om9,,,بعمق,deeply
9aT3an,,,,قاطعا,definitely
3amdan,,,,عمدا,deliberately
sabi9an,saabi9an,,,سابقا,previously
aghlab,aghlabia,,,أغلب,most
bjoj,bjouj,,,بجوج,both
