"root","ana","nta","nti","howa","hia","7na","ntoma","homa"
"kla","kanakl","katakl","katakli","kayakol","katakol","kanaklo","kataklo","kayaklo"
"chrb","kanchrb","katchrb","katchrbi","kaychrb","katchrb","kanchrbo","katchrbo","kaychrbo"
"dkhol","kandkhol","katdkhol","katdkhli","kaydkhol","katdkhol","kandkhlo","katdkhlo","kaydkhlo"
"khrej","kankhrej","kankhrej","katkhrji","kaykhrej","katkhrej","kankhrjo","katkhrjo","kaykhrjo"
"f8em","kanf8em","katf8em","katfe8mi","kayf8em","katf8em","kanfe8mo","katfe8mo","kayfe8mo"
"chre7","kanchre7","katchre7","katcher7i","kaychre7","katchre7","kancher7o","katcher7o","kaycher7o"
"9ra","kan9ra","kat9ra","kat9ray","kay9ra","kat9ra","kan9raw","kat9raw","kay9raw"
"9erra","kan9erri","kat9erri","kat9erri","kay9erri","kat9erri","kan9erriw","kat9erriw","kay9erriw"
"sme3","kansme3","katsme3","katsm3i","kaysme3","katsme3","kansem3o","katsem3o","kaysem3o"
"chaf","kanchouf","katchouf","katchoufi","kaychouf","katchouf","kanchoufo","katchoufo","kaychoufo"
"chmm","kanchmm","katchmm","katchmmi","kaychmm","katchmm","kanchmmo","katchmmo","kaychmmo"
"da9","kandou9","katdou9","katdou9i","kaydou9","katdou9","kandou9o","katdou9o","kaydou9o"
"9as","kan9is","kat9is","kat9isi","kay9is","kat9is","kan9iso","kat9iso","kay9iso"
"mcha","kanmchi","katmchi","katmchi","kaymchi","katmchi","kanmchiw","katmchiw","kaymchiw"
"ja","kanji","katji","katji","kayji","katji","kanjiw","katjiw","kayjiw"
"Tl3","kanTl3","kaTTl3","kaTTl3i","kayTl3","kaTTl3","kanTl3o","kaTTl3o","kayTl3o"
"nzl","kannzl","katnzl","katnzli","kaynzl","katnzl","kannzlo","katnzlo","kaynzlo"
"3am","kan3oum","kat3oum","kat3oumi","kay3oum","kat3oum","kan3oumo","kat3oumo","kay3oumo"
"ghr9","kanghr9","katghr9","katghr9i","kayghr9","katghr9","kanghr9o","katghr9o","kayghr9o"
"lbs","kanlbs","katlbs","katlbsi","kaylbs","katlbs","kanlbso","katlbso","kaylbso"
"slt","kanslt","katslt","katslti","kayslt","katslt","kanslto","katslto","kayslto"
"chra","kanchri","katchri","katchri","kaychri","katchri","kanchriw","katchriw","kaychriw"
"ba3","kanbi3","katbi3","katbi3i","kaybi3","katbi3","kanbi3o","katbi3o","kaybi3o"
"ttawa","kanttawa","katttawa","katttaway","kayttawa","katttawa","kanttawaw","katttawaw","kayttawaw"
"ktb","kanktb","katktb","katktbi","kayktb","katktb","kanktbo","katktbo","kayktbo"
"ms7","kanms7","katms7","katms7i","kayms7","katms7","kanms7o","katms7o","kayms7o"
"drab","kandrab","katdrab","katdarbi","kaydrab","katdrab","kandarbo","katdarbo","kaydarbo"
"tsalm","kantsalm","kattsalm","kattsalmi","kaytsalm","kattsalm","kantsalmo","kattsalmo","kaytsalmo"
"3ya","kan3ya","kat3ya","kat3yay","kay3ya","kat3ya","kan3yaw","kat3yaw","kay3yaw"
"tskhskh","kantskhskh","kattskhskh","kattskhskhi","kaytskhskh","kattskhskh","kantskhskho","kattskhskho","kaytskhskho"
"D7k","kanD7k","katD7k","katD7ki","kayD7k","katD7k","kanD7ko","katD7ko","kayD7ko"
"ghDb","kanghDb","katghDb","katghDbi","kayghDb","katghDb","kanghDbo","katghDbo","kayghDbo"
"jab","kanjib","katjib","katjibi","kayjib","katjib","kanjibo","katjibo","kayjibo"
"kan","kankoun","katkoun","katkouni","kaykoun","katkoun","kankouno","katkouno","kaykouno"
"dar","kandir","katdir","katdiri","kaydir","katdir","kandiro","katdiro","kaydiro"
"gal","kangoul","katgoul","katgouli","kaygoul","katgoul","kangoulo","katgoulo","kaygoulo"
"chedd","kanchedd","katchedd","katcheddi","kaychedd","katchedd","kancheddo","katcheddo","kaycheddo"
"fkkr","kanfkkr","katfkkr","katfkkri","kayfkkr","katfkkr","kanfkkro","katfkkro","kayfkkro"
"ba","kanbi","katbi","katbi","kaybi","katbi","kanbiw","katbiw","kaybiw"
"bgha","kanbghi","katbghi","katbghi","kaybghi","katbghi","kanbghiw","katbghiw","kaybghiw"
"l9a","kanl9a","katl9a","katl9ay","kayl9a","katl9a","kanl9aw","katl9aw","kayl9aw"
"3Ta","kan3Ti","kat3Ti","kat3Ti","kay3Ti","kat3Ti","kan3Tiw","kat3Tiw","kay3Tiw"
"khdm","kankhdm","katkhdm","katkhdmi","kaykhdm","katkhdm","kankhdmo","katkhdmo","kaykhdmo"
"3yyeT","kan3yyeT","kat3yyeT","kat3yyTi","kay3yyeT","kat3yyeT","kan3yyTo","kat3yyTo","kay3yyTo"
"7ess","kan7ess","kat7ess","kat7essi","kay7ess","kat7ess","kan7esso","kat7esso","kay7esso"
"wlla","kanwlli","katwlli","katwlli","kaywlli","katwlli","kanwlliw","katwlliw","kaywlliw"
"7TT","kan7TT","kat7TT","kat7TTi","kay7TT","kat7TT","kan7TTo","kat7TTo","kay7TTo"
