"root_darija","nta","nti","ntoma"
"kla","koul","kouli","koulou"
"chreb","chreb","cherbi","cherbou"
"dkhel","dkhol","dkhli","dkhlou"
"khrej","khrej","khrji","khrjou"
"fhem","fhem","fhmi","fhmou"
"chre7","chre7","cher7i","cher7ou"
"9ra","9ra","9ray","9raw"
"9rra","9rri","9rri","9rriw"
"sme3","sme3","sem3i","sem3o"
"chaf","chouf","choufi","choufo"
"chmm","chmm","chmmi","chmmo"
"da9","dou9","dou9i","dou9o"
"9as","9is","9isi","9iso"
"mcha","sir","siri","siro"
"ja","aji","aji","ajiw"
"Tl3","Tl3","Tl3i","Tl3o"
"nzl","nzl","nzli","nzlo"
"3am","3oum","3oumi","3oumo"
"ghr9","ghr9","ghr9i","ghr9o"
"lbs","lbs","lbsi","lbso"
"slt","slt","slti","slto"
"chra","chri","chri","chriw"
"ba3","bi3","bi3i","bi3o"
"ttawa","ttawa","ttaway","ttawaw"
"ktb","ktb","ktbi","ktbo"
"ms7","ms7","ms7i","ms7o"
"drab","drab","drbi","drbo"
"tsalm","tsalm","tsalmi","tsalmo"
"3ya","3ya","3yay","3yaw"
"tskhskh","tskhskh","tskhskhi","tskhskho"
"D7k","D7k","D7ki","D7ko"
"ghDb","ghDb","ghDbi","ghDbo"
"jab","jib","jibi","jibo"
"kan","koun","kouni","kouno"
"dar","dir","diri","diro"
"gal","goul","gouli","goulo"
"chedd","chedd","cheddi","cheddo"
"fkkr","fkkr","fkkri","fkkro"
"bgha","bghi","bghi","bghiw"
"l9a","l9a","l9ay","l9aw"
"lga","lga","lgay","lgaw"
"3Ta","3Ti","3Ti","3Tiw"
"khdm","khdm","khdmi","khdmo"
"3yyeT","3yyeT","3yyTi","3yyTo"
"7ess","7ess","7essi","7esso"
"wlla","wlli","wlli","wlliw"
"7TT","7TT","7TTi","7TTo"
"3na","3ni","3ni","3niw"
"bda","bda","bday","bdaw"
"l9a","l9a","l9ay","l9aw"
"3jb","3jb","3jbi","3jbo"
"khbr","khbr","khbri","khbro"
"3awn","3awn","3awni","3awno"
"wjjd","wjjd","wjjdi","wjjdo"
"2amn","2amn","2amni","2amno"
"7awl","7awl","7awli","7awlo"
"jrrb","jrrb","jrrbi","jrrbo"
"swwl","swwl","swwli","swwlo"
"tfkkr","tfkkr","tfkkri","tfkkro"
"mcha","sir","siri","siro"
"byyen","byyen","byyni","byyno"
"l3b","l3b","l3bi","l3bo"
"jra","jri","jri","jriw"
"9ra","9ra","9ray","9raw"
"sala","sali","sali","saliw"
"9TT3","9TT3","9TT3i","9TT3o"
"8Dr","8Dr","8Dri","8Dro"
"chker","chker","chkri","chkro"
"bddel","bddel","bddli","bddlo"
"kmmel","kmmel","kmmli","kmmlo"
"ftarD","ftarD","ftarDi","ftarDo"
"tmnna","tmnna","tmnnay","tmnnaw"
"tb3","tb3","tb3i","tb3o"
"9bl","9bl","9bli","9blo"
"rfD","rfD","rfDi","rfDo"
"w93","w93","w93i","w93o"
"gls","gls","glsi","glso"
"rb7","rb7","rb7i","rb7o"
"zad","zid","zidi","zido"
"t3llm","t3llm","t3llmi","t3llmo"
"tsnna","tsnna","tsnnay","tsnnaw"
"sifT","sifT","sifTi","sifTo"
"ba3","bi3","bi3i","bi3o"
"7ell","7ell","7elli","7ello"
"bna","bni","bni","bniw"
"khtar","khtar","khtari","khtaro"
"wSl","wSl","wSli","wSlo"
"9rrer","9rrer","9rreri","9rrero"
