n1,n2,n3,n4,darija_ar,eng
ana,,,,أنا,me
ana,,,,أنا,I
nta,,,,نتا,you
nti,,,,نتي,you
hoa,howa,8owa,8oa,هوا,him
hia,hya,8ya,8ia,هيا,her
7na,,,,حنا,us
7na,,,,حنا,we
ntoma,ntouma,,,نتوما,you
homa,houma,8ouma,8oma,هوما,them
ayy wahd,,,,أيّ واهد,everyone
tta wahd,,,,التا واهد,anyone
ayyatoha haja,,,,أيّاتوها هاجا,anything
kolchi,koulchi,kollchi,koullchi,كولشي,everything
hada,hadi,hadchi,had,هادا,this
dak,,,,داك,that
hadak,,,,هاداك,that
hadik,,,,هاديك,that
hado,hadou,,,هادو,these
hado,hadou,,,هادو,those
imta,,,,إمتا,when
fo9ach,foqach,,,فوقاش,when
fine,fin,,,فين,where
w9tach,wa9tach,we9tach,,وقتاش,when
3lach,aalach,,,علاش,why
kifach,,,,كيفاش,why
ach,,,,أش,what
chno,,,,شنو,what
chkon,,,,شكون,who
kifach,,,,كيفاش,how
ktr,kter,ktar,,كتر,more
aktar,,,,أكتار,most
a9al,,,,أقال,least
9el,9al,,,قل,less
chi 7edd,chi 7ed,chi7ed,chi7edd,شي حدّ,someone
dyali,diali,,,ديالي,mine
dyalo,dialo,dialou,dyalou,ديالو,his
dyalha,dialha,dial8a,dyal8a,ديالها,her
dyalha,dialha,dial8a,dyal8a,ديالها,hers
dyalhom,dialhom,dial8om,dyalhoum,ديالهوم,their
dyalhom,dialhom,dial8om,dyalhoum,ديالهوم,theirs
dyalna,dialna,,,ديالنا,our
dyalna,dialna,,,ديالنا,ours
dyawli,diawli,,,دياولي,mine
dyawlo,diawlo,diawlou,dyawlou,دياولو,his
dyawlha,diawlha,diawl8a,dyawl8a,دياولها,her
dyawlha,diawlha,diawl8a,dyawl8a,دياولها,hers
dyawlhom,diawlhom,diawl8om,dyawlhoum,دياولهوم,their
dyawlhom,diawlhom,diawl8om,dyawlhoum,دياولهوم,theirs
dyawlna,dialna,,,دياولنا,our
dyawlna,dialna,,,دياولنا,ours
b7al,bhal,,,بحال,such
3rram,3erram,,,عرّام,plenty of
