"verb","noun"
"kla","makla"
"chreb","chrab"
"ndm","nadam"
"t3wwd","ta3wwoud"
"3Tas","3Tsa"
"k7ob","ko7ba"
"2ejjel","t2jil"
"t3awn","mo3awana"
"tbadl","tabadol"
"9aaT3","mo9aTa3a"
"tTwwe3","taTwwo3"
"9oulb","9aleb"
"tjnnb","tajnnob"
"8ml","i8mal"
"tla9a","mla9ia"
"tjsses","tajssos"
"nta9m","nti9am"
"chka","chkwa"
"fchel","fachal"
"wSef","waSf"
"rje3","rojou3"
"daz","douza"
"ddabz","mdabza"
"dkhel","dkhoul"
"khrj","khrouj"
"fhem","fhama"
"chre7","cher7"
"9ra","9raya"
"9rra","9raya"
"sme3","sem3"
"chaf","choufan"
"chm","chm"
"da9","dou9an"
"9as","9isan"
"mcha","mchi"
"ja","mji"
"Tl3","Tlou3"
"Tl3","Tl3a"
"nzl","nzoul"
"nzl","nzla"
"3am","3ouman"
"ghr9","ghara9"
"lbs","lbas"
"slt","slit"
"chra","chra"
"ba3","bi3"
"ttawa","mtawia"
"ktb","ktba"
"ms7","msi7"
"Drab","Drib"
"tsalm","tsalim"
"3ya","3ya"
"tskhskh","tsekhsikh"
"D7ek","De7k"
"ghdb","ghaDab"
"gal","goulan"
"fkkr","tfkir"
"l9a","mla9ia"
"3Ta","3aTa2"
"khdm","khdma"
"3yeT","t3yaT"
"7ess","i7sas"
"7TT","7TTan"
"3na","m3na"
"3jb","i3jab"
"khbr","khbar"
"3awn","m3awna"
"wjjd","toujad"
"2amn","2iman"
"7awl","mo7awala"
"jrrb","tjrib"
"swwl","so2al"
"tfkkr","tfkir"
"byyen","tbyan"
"l3eb","le3b"
"jra","jra"
"sala","msalya"
"9TT3","t9Ta3"
"8Dr","8Dra"
"chker","chokr"
"bddel","tbdal"
"kmmel","kmala"
"ftarD","ftiraD"
"tmnna","omnia"
"tb3","mtab3a"
"9bl","9oboul"
"rfeD","rafD"
"w9e3","wo9o3"
"gles","glas"
"gles","glous"
"rbe7","rib7"
"zad","zyada"
"t3llm","ta3llom"
"tsnna","tsnya"
"7ell","7llan"
"bna","bni"
"khtar","khtyar"
"wSl","woSol"
"9rrer","9arar"
"nchT","nachaT"
"tfrrj","fraja"
"khsr","khasara"
"kbbr","tkbir"
"tkhyyl","khayal"
"sbbeb","sabab"
"8rrs","t8ras"
"sme3","sem3"
"kbr","kboria"
"mat","mout"
"twffa","wafat"
"zar","zyara"
"chjje3","tchji3"
"7ama","m7amya"
"nchr","nchir"
"9tl","9til"
"sag","sogan"
"kdb","kdoub"
"t9aj7","m9aj7a"
"7yyed","t7yad"
"3mmr","t3mar"
"safr","safar"
"7Dr","7oDor"
"9sse7","t9si7a"
"3ana","mo3anat"
"zgl","zgil"
"lga","mlagya"
"3bbr","t3bir"
"rkkz","trkiz"
"la7","lo7an"
"Sawb","mSayba"
"df3","dfi3"
"wrrk","twrak"
"wSl","woSol"
"jm3","jmi3"
"8rb","8roub"
"r77b","tr7ib"
"3wwl","t3wal"
"ta9","ti9a"
"3awd","m3awda"
"khTTeT","tkhTiT"
"frch","frcha"
"2kkd","toukid"
"kr8","kor8"
"tjwj","jwaj"
"9sm","9isma"
"tbnna","tabnni"
"tja8l","taja8ol"
"3rrf","t3rif"
"9ddm","t9dim"
"ttrina","antrima"
"br8n","bor8an"
"9n3","i9na3"
"Swwt","tSwit"
"nkr","nkra"
"khbba","tkhbya"
"nj7","naja7"
"Tlb","Talab"
"3tarf","3tiraf"
"7sb","7sab"
"ntama","ntima2"
"chekk","chekk"
"ghnna","ghna"
"nwa","nyya"
"brrer","tbrir"
"daf3","difa3"
"z3m","z3ama"
"tsara7","msara7a"
"7km","7kim"
"chark","mocharaka"
"ghsl","ghsil"
"la7D","mola7aDa"
"jme3","jem3"
"l77","il7a7"
"tla7","tlyi7a"
"Tyyb","Tyab"
"bka","bka"
"n3s","n3as"
"fa9","fya9"
"jm3","jmi3"
"nsa7b","nsi7ab"
"7ll","7llan"
"yastalzim","stilzam"
"tsllf","salaf"
"khaTr","mokhaTara"
"sm7","mosama7a"
"sam7","mosama7a"
"9tar7","9tira7"
"7tafl","7tifal"
"Dyy3","taDyyo3"
"ghbr","ghbour"
"tw993","taw99o3"
"ngr","ngir"
"9bT","9biT"
"gbD","gbiD"
"naD","noDan"
"7bes","7ebs"
"9yyd","t9yad"
"wllf","welf"
"khllT","tkhlaT"
"gyyd","tgyad"
"gyyd","tgyida"
"7rg","7rga"
"7rg","7rig"
"7r9","7ri9"
"staghl","stighlal"
"kma","kmaya"
"7ddr","t7dir"
"bass","bousan"
"3ln","i3lan"
"khtabr","khtibar"
"tnffs","tanffos"
"Saad9","Sid9"
"7tell","7tilal"
"7arrar","t7rir"
"btasm","btisama"
"7fr","7fra"
"7tarm","7tiram"
"8dded","t8did"
"lgha","ilgha2"
"khzn","khzin"
"nDDm","tnDim"
"nwwr","tnwir"
"7lf","7louf"
"7lm","7lma"
"SrT","SriT"
"bloka","blokaj"
"stab9","stiba9"
"tta8m","tti8am"
"ghwwt","ghwat"
"2ttr","t2tir"
"rttb","trtib"
"3ta9l","3ti9al"
"nb7","nbi7"
"khan","khyana"
"t7aTT","m7aTTa"
"khtalf","khtilaf"
"7tafD","7tifaD"
"Tar","Tayaran"
"jrr","jrran"
"8zz","8zzan"
"Ta7","Ti7an"
"3rf","m3rifa"
"nsa","nsyan"
"trjm","trjama"
"w3ed","wa3d"
"9llb","t9lab"
"7bb","7obb"
"3ach","ma3icha"
"skn","skna"
"khllS","khlaS"
"sdd","sddan"
"w9f","wo9of"
"stkhdm","stikhdam"
"stalm","stilam"
"fchl","fachal"
"sbb","sbban"
"chka","chkwa"
"fD7","fDi7a"
"3tadr","3tidar"
"3nng","t3nag"
"3nn9","t3na9"
"dfn","dfin"
"ghlb","ghlba"
"9der","9odra"
"3te9","3it9"
"gdd","gddan"
"imkn","imkania"
"khda","akhd"
"khSS","khaSaS"
"tDmmen","taDmmon"
"t7rrek","7araka"
"Dar","Doran"
"3tabr","3tibar"
"tmenna","tamenni"
"ntej","intaj"
"chdd","chddan"
"to99e3","taw99o3"
"Dmen","Damana"
"8ezz","8zzan"
"3reD","3raDa"
"d3em","da3m"
"hDer","hDra"
"9aad","9iada"
"b9a","ba9a2"
"w9ef","w9ouf"
"wgef","wgouf"
"w9ef","w9fa"
"wgef","wgfa"
"gadd","mgadda"
"ttaf9","ttifa9"
"Tbbe9","taTbi9"
"kowwen","kayan"
"3bber","t3bir"
"Dyye3","Daya3"
"Dyye3","taDyyo3"
"lta79","lti7a9"
"n99eS","n9San"
"n9ed","in9ad"
"tTelleb","taTallob"
"799e9","t79i9"
"t3amel","ta3amol"
"twaj8","mowaja8a"
"ghTTa","tghTia"
"Twwer","teTwir"
"maal","mayl"
"rsem","rasm"
"t7errek","7araka"
"t7errek","ta7rrok"
"3zel","3azl"
"3zel","m3azla"
"kllef","takllof"
"br8en","bor8an"
"w9e3","wo9o3"
"tna9ch","ni9ach"
"gabl","mgabla"
"sala","msalya"
"9Sed","9aSd"
"9lleb","t9lab"
"nfe3","nfe3"
"9sem","9isma"
"partaja","partaj"
"nche2","incha2"
"2esses","t2sis"
"t7kkem","ta7kkom"
"jawb","jawab"
"7edded","t7did"
"3tana","3tina2"
"mkken","tmkin"
"Taalb","moTalaba"
"kseb","kasb"
"mttel","tmtil"
"tDemmen","taDmmon"
"ghleb","ghlba"
"tchTen","chTna"
"t7mmel","ta7mmol"
"sedd","sddan"
"tsa2el","tasa2ol"
"naaseb","monaasaba"
"t3elle9","ta3llo9"
"7eTT","7TTan"
"chmel","chaml"
"ttaSel","ttiSal"
"achaar","ichara"
"khdem","khdma"
"tSerref","taSrrof"
"t2e9lem","ta29lom"
"rbe7","rbe7"
"f7eS","fa7S"
"redd","redd"
"3tamd","3timad"
"nja","najat"
"kemmel","kmala"
"rtaf3","rtifa3"
"9ddem","t9dim"
"rowwej","trwij"
"chejje3","tchji3"
"2edda","2ada2"
"medded","tmdid"
"khtalef","khtilaf"
"fad","ifada"
"3elle9","t3li9"
"Tyye7","Ti7a"
"bellegh","tbligh"
"Sbb","Sbban"
