n1,n2,n3,n4,n5,n6,darija_ar,eng
kla,,,,,,كلا,eat
chrb,chreb,,,,,شرب,drink
dkhel,dkhl,dkhal,d5el,d5l,d5al,دخل,enter
khrj,khraj,khrej,5rj,5raj,5rej,خرج,go out
fhem,fhm,fham,f8em,f8m,f8am,فهم,understand
chr7,chra7,chre7,chrh,chreh,chrah,شرح,explain
9ra,qra,,,,,قرا,learn
9rra,9erra,qrra,qerra,,,قرّا,teach
sm3,sme3,sma3,,,,سمع,hear
chaf,chaaf,,,,,شاف,see
chm,chemm,chmm,chem,,,شم,smell
da9,daq,,,,,داق,taste
9as,qas,,,,,قاس,touch
mcha,,,,,,مشا,go
ja,,,,,,جا,come
tl3,tla3,tle3,,,,طلع,ascend
nzl,nzel,,,,,نزل,go down
3am,,,,,,عام,swim
ghr9,ghra9,ghre9,,,,غرق,drown
lbs,lbes,,,,,لبس,wear
slt,slet,slat,,,,سلت,take off
chra,,,,,,شرا,buy
ba3,baa3,,,,,باع,sell
ttawa,,,,,,تاوا,bargain
ktb,kteb,,,,,كتب,write
ms7,msa7,msah,msh,,,مسح,clean
drab,dreb,,,,,ضرب,hit
tsalm,tsalem,,,,,تسالم,salute
3ya,3ia,,,,,عيا,fatigue
tskhskh,tsakhsakh,tsa5sa5,ts5s5,tsekhsekh,,تسخسخ,exhaust
D7k,D7ek,D7ak,,,,ضحك,laugh
ghdb,ghdab,,,,,غضب,anger
jab,,,,,,جاب,bring
kan,,,,,,كان,was
dar,,,,,dir,دار,do
gal,,,,,,ڭال,say
9al,,,,,,قال,say
3ndo,3ando,3endo,,,,عندو,have
chedd,chdd,,,,,شدّ,get
fkkr,fkker,fkkar,,,,فكّر,think
ba,bgha,,,,,با,want
l9a,lqa,,,,,لقا,find
3Ta,,,,,,عطا,give
khdm,khdam,khdem,5dem,5dam,,خدم,work
3yeT,3ayyaT,3eyyeT,,,,عيط,call
khass,5ass,khess,,,,خاسّ,need
7ess,7ass,hass,,,,حسّ,feel
wlla,wella,,,,,ولّا,become
7TT,7aTT,7aT,hatt,,,حطّ,put
3na,,,,,,عنا,mean
bda,,,,,,بدا,begin
khss,,,,,,خسّ,should
l9a,lga,lqa,,,,لقا,find
3jb,3jeb,3jab,,,,عجب,like
khbr,khber,5br,5ber,,,خبر,tell
3awn,3awen,aawen,,,,عاون,help
3t9,3te9,,,,,عتق,help
wjjd,wjjed,wajjad,,,,وجّد,prepare
2amn,aamn,,,,,أمن,believe
7awl,7awel,hawel,,,,حاول,try
jrrb,jarreb,jerreb,,,,جرّب,try
swwl,swwel,sawwel,,,,سوّل,ask
tfkkr,tfekker,tfakkar,,,,تفكّر,remember
mcha,,,,,,مشا,leave
byyen,beyyen,biyyen,,,,بيّن,show
l3b,l3eb,l3ab,,,,لعب,play
jra,,,,,,جرا,run
jrra,jerra,jarra,,,,جرّا,run
9ra,qra,,,,,قرا,read
bda,,,,,,بدا,start
sala,,,,,,سالا,finish
9TT3,9aTTe3,qattaa,,,,قطّع,cut
8Dr,8Der,8Dar,hDar,hder,,هضر,talk
chker,chkar,chkor,,,,شكر,thank
bddel,bddal,,,,,بدّل,change
kmmel,kmmal,,,,,كمّل,continue
ftarD,,,,,,فتارض,suppose
tmnna,tmenna,,,,,تمنّا,wish
tb3,tbe3,tba3,,,,تبع,follow
9bl,9bel,9bel,,,,قبل,accept
rfD,rfaD,rfeD,,,,رفض,reject
w93,w9e3,w9e3,,,,وقع,happen
gls,gles,glas,,,,ڭلس,sit down
rb7,rbe7,rba7,,,,ربح,win
zad,,,,,,زاد,add
t3llm,t3allam,t3ellem,,,,تعلّم,learn
tsnna,,,,,,تسنّا,wait
sifT,SifT,,,,,سيفط,send
ba3,baa3,,,,,باع,sell
chra,,,,,,شرا,buy
7ell,7all,,,,,حلّ,open
bna,,,,,,بنا,build
khtar,5tar,,,,,ختار,choose
wSl,wSal,wSel,,,,وصل,reach
9rrer,9arrar,9arrer,,,,قرّر,decide
nchT,nchaT,ncheT,,,,نشط,enjoy
tfrrj,itfrrej,tfarraj,,,,تفرّج,watch
khsr,khsar,khser,5ser,,,خسر,lose
tmchcha,tmecha,,,,,تمشّا,walk
kbbr,kebber,kabber,,,,كبّر,raise
tkhyyl,tkheyyel,tkhayel,t5ayyal,,,تخيّل,imagine
sbbeb,sabbeb,,,,,سبّب,cause
8rrs,harrass,8arres,,,,هرّس,break
sme3,smaa,sma3,,,,سمع,listen
kbr,kber,,,,,كبر,grow
mat,,,,,,مات,die
twffa,tweffa,toueffa,,,,توفّا,die
zar,zaar,,,,,زار,visit
chjje3,chajja3,,,,,شجّع,encourage
7ama,hama,,,,,حاما,protect
nchr,ncher,nchar,,,,نشر,spread
9tl,9tal,9tel,qtel,,,قتل,kill
sag,Sag,Saag,saag,,,صاڭ,drive
kdb,kdeb,kdab,,,,كدب,lie
t9aj7,t9aje7,tqajeh,,,,تقاجح,argue
7yyed,7ayyad,7ayyed,,,,حيّد,remove
ddabz,,,,,,دابز,fight
3mmr,3emmer,3emmar,,,,عمّر,fill
safr,saafr,,,,,سافر,travel
7Dr,7Dar,7Der,,,,حضر,attend
9sse7,9ssa7,,,,,قسّح,hurt
3ana,3aana,,,,,عانا,suffer
zgl,zguel,zgal,,,,زڭل,miss
l9a,,,,,,لقا,discover
lga,,,,,,لڭا,discover
3bbr,3bber,3bbar,,,,عبّر,express
rkkz,rekkez,rakkaz,,,,ركّز,concentrate
la7,,,,,,لاح,throw
Sawb,Saweb,,,,,صاوب,prepare
9ra,qra,,,,,قرا,study
df3,dfe3,dfaa,,,,دفع,push
wrrk,werrek,,,,,ورّك,press
wSl,wSel,wSal,,,,وصل,arrive
