"n1","n2","n3","n4","eng"
"tania","thania","","","second"
"d9i9a","daqiqa","da9i9a","","minute"
"sa3a","","","","hour"
"yawm","youm","","","day"
"lbar7","lbare7","lbareh","lbarh","yesterday"
"daba","","","","now"
"lyom","liom","lioma","lyoma","today"
"ghdda","ghedda","ghadda","","tomorrow"
"wellbar7","wallbare7","wllbare7","","the day before yesterday"
"b3d ghdda","ba3d ghdda","be3d ghdda","","the day after tomorrow"
"simana","semana","","","week"
"ch8r","ch8ar","chher","chhar","month"
"3am","","","","year"
"9rn","9arn","9ern","qarn","century"
"tnin","","","","monday"
"tlat","ttlat","","","tuesday"
"larb3","larba3","larbe3","","wednesday"
"lkhmis","l5miss","lakhmis","lekhmis","thursday"
"jm3a","jam3a","jem3a","","friday"
"sbt","sebt","sabt","ssebt","saturday"
"l7d","l7ed","l7add","l7ad","sunday"
"wikand","","","","weekend"
"yanayir","","","","sunday"
"fibrayr","fibrayer","","","february"
"mars","","","","march"
"abril","","","","april"
"may","","","","may"
"yonyo","","","","june"
"yolyoz","youlyouz","","","july"
"ghocht","","","","august"
"chotanbir","","","","september"
"oktoubr","oktobr","","","october"
"nowanbir","","","","november"
"dojanbir","doujanbir","","","december"
"w9t","wa9t","we9t","","time"
"7aDir","7aDer","7aDr","","present"
"most9bal","mosta9bal","mostaqbal","mostqbal","future"
"maDi","maaDi","","","past"
"llarob","llaroub","","","quarter to"
"o 9sem","o9sem","oqsem","","five past"
"o 9smayn","o9smayn","oqsmayn","","ten past"
"o rb3","orb3","orba3","","quarter past"
"o ness","oness","onss","onass","half past"
"o sb3 9sam","osb39sam","o sbaa qsam","o sba3 9sam","thirty five past"
"9ll toulout","9ll tolot","","","twenty to"
"9ll 9smayn","9ll9smayn","","","ten to"
"9ll 9sm","9ll9sm","","","five to"
"mn","men","","","since"
"revey","rrevey","","","alarm"
"lil","llil","lile","","night"
"Sba7","Sbah","","","morning"
"3chia","aachia","","","evening"
"wst nhar","wstnhar","","","midday"
"maw3id","mou3id","","","appointment"
"ftra","fatra","fetra","","period"
"magana","","","","clock"
"dima","","","","always"
"3adatan","3aadatan","","","usually"
"naadiran","nadiran","","","rarely"
"monasaba","mounasaba","monaasaba","","occasion"
