"n1","n2","n3","n4","n5","n6","eng"
"kla","","","","","","eat"
"chrb","chreb","","","","","drink"
"dkhel","dkhl","dkhal","d5el","d5l","d5al","enter"
"khrj","khraj","khrej","5rj","5raj","5rej","go out"
"fhem","fhm","fham","f8em","f8m","f8am","understand"
"chr7","chra7","chre7","chrh","chreh","chrah","explain"
"9ra","qra","","","","","learn"
"9rra","9erra","qrra","qerra","","","teach"
"sm3","sme3","sma3","","","","hear"
"chaf","chaaf","","","","","see"
"chm","chemm","chmm","chem","","","smell"
"da9","daq","","","","","taste"
"9as","qas","","","","","touch"
"mcha","","","","","","go"
"ja","","","","","","come"
"tl3","tla3","tle3","","","","ascend"
"nzl","nzel","","","","","go down"
"3am","","","","","","swim"
"ghr9","ghra9","ghre9","","","","drown"
"lbs","lbes","","","","","wear"
"slt","slet","slat","","","","take off"
"chra","","","","","","buy"
"ba3","baa3","","","","","sell"
"ttawa","","","","","","bargain"
"ktb","kteb","","","","","write"
"ms7","msa7","msah","msh","","","clean"
"drab","dreb","","","","","hit"
"tsalm","tsalem","","","","","salute"
"3ya","3ia","","","","","fatigue"
"tskhskh","tsakhsakh","tsa5sa5","ts5s5","tsekhsekh","","exhaust"
"D7k","D7ek","D7ak","","","","laugh"
"ghdb","ghdab","","","","","anger"
"jab","","","","","","bring"
"kan","","","","","","was"
"dar","","","","","dir","do"
"gal","","","","","","say"
"3ndo","3ando","3endo","","","","have"
"chedd","chdd","","","","","get"
"fkkr","fkker","fkkar","","","","think"
"ba","bgha","","","","","want"
"l9a","lqa","","","","","find"
"3Ta","","","","","","give"
"khdm","khdam","khdem","5dem","5dam","","work"
"3yeT","3ayyaT","3eyyeT","","","","call"
"khass","5ass","khess","","","","need"
"7ess","7ass","hass","","","","feel"
"wlla","wella","","","","","become"
"7TT","7aTT","7aT","hatt","","","put"
"3na","","","","","","mean"
"bda","","","","","","begin"
"khss","","","","","","should"
"l9a","lga","lqa","","","","find"
"3jb","3jeb","3jab","","","","like"
"khbr","khber","5br","5ber","","","tell"
"3awn","3awen","aawen","","","","help"
"3t9","3te9","","","","","help"
"wjjd","wjjed","wajjad","","","","prepare"
"2amn","aamn","","","","","believe"
"7awl","7awel","hawel","","","","try"
"jrrb","jarreb","jerreb","","","","try"
"swwl","swwel","sawwel","","","","ask"
"tfkkr","tfekker","tfakkar","","","","remember"
"mcha","","","","","","leave"
"byyen","beyyen","biyyen","","","","show"
"l3b","l3eb","l3ab","","","","play"
"jra","","","","","","run"
"jrra","jerra","jarra","","","","run"
"9ra","qra","","","","","read"
"bda","","","","","","start"
"sala","","","","","","finish"
