"n1","n2","n3","n4","n5","n6","eng"
"kla","yakol","","","","kol","eat"
"chrb","ychrb","yachrob","yechrab","","","drink"
"dkhel","dkhl","dkhal","d5el","d5l","d5al","enter"
"khrj","khraj","khrej","5rj","5raj","5rej","go out"
"fhem","fhm","fham","f8em","f8m","f8am","understand"
"chr7","chra7","chre7","chrh","chreh","chrah","explain"
"9ra","qra","ya9ra","i9ra","","","learn"
"9rra","9erra","qrra","qerra","","9rri","teach"
"sm3","sme3","sma3","isma3","isme3","","hear"
"chaf","ichouf","ichof","","","chof","see"
"chm","chemm","chmm","","","","smell"
"da9","daq","idou9","","","dou9","taste"
"9as","qas","i9is","","","9is","touch"
"mcha","ymchi","yamchi","yemchi","imchi","","go"
"ja","yji","iji","","","ji","come"
"tl3","tla3","tle3","yetle3","yatl3","yatle3","ascend"
"nzl","nzel","yenzel","inzl","izel","ynzel","go down"
"3am","y3oum","i3oum","3aam","","3oum","swim"
"ghr9","ghra9","ghre9","yghre9","yaghra9","ighre9","drown"
"lbs","lbes","yelbes","ilbes","ilbs","yalbas","wear"
"slt","slet","slat","yeslet","islet","islat","take off"
"chra","yechri","yachri","ichri","","chri","buy"
"ba3","baa3","ibi3","ybi3","","bi3","sell"
"ttawa","yttawa","ittawa","","","","bargain"
"ktb","kteb","yktb","ikteb","yaktob","yekteb","write"
"ms7","msa7","msah","msh","yemsa7","yemsah","clean"
"drab","dreb","yadrob","","","drob","hit"
"tsalm","tsalem","","","","","salute"
"3ya","3ia","ya3ya","ye3ya","i3ya","","fatigue"
"tskhskh","tsakhsakh","tsa5sa5","ts5s5","tsekhsekh","","exhaust"
"D7k","D7ek","D7ak","iD7ek","iD7ak","","laugh"
"ghdb","ghdab","yaghdb","yaghdob","yaghdeb","","anger"
"jab","yjib","ijib","","","jib","bring"
"kan","","","","","","was"
"dar","ydir","idir","","","dir","do"
"gal","igoul","","","","goul","say"
"3ndo","3ando","3endo","","","","have"
"khda","5da","yakhoud","yakhod","","khoud","get"
"fkkr","fkker","fkkar","ifkker","ifakkar","","think"
"ba","bgha","ibghi","","","","want"
"l9a","lqa","il9a","yal9a","yel9a","","find"
"3Ta","","","","","3Ti","give"
"khdm","khdam","khdem","5dem","5dam","","work"
"3yeT","3ayyaT","3eyyeT","","","","call"
"khass","5ass","khess","","","","need"
