n1,n2,n3,n4,darija_ar,eng
m3a,maa,,,معا,with
m3aya,maaya,,,معايا,with me
m3aha,m3a8a,,,معاها,with her
m3ahom,m3a8om,m3ahoum,m3a8oum,معاهوم,with them
m3ana,maana,,,معانا,with us
m3ah,m3a8,maah,,معاه,with him
3ndi,3andi,andi,aandi,عندي,I have
3ndo,3ando,3endo,aando,عندو,he has
3ndha,3andha,3endha,3and8a,عندها,she has
3ndhom,andhoum,aandhom,3andhoum,عندهوم,they have
3ndna,aandna,3andna,3endna,عندنا,we have
fia,fyya,fya,,فيا,in me
fia,fyya,fya,,فيا,I can
fih,fi8,,,فيه,in him
fih,fi8,,,فيه,he can
fiha,fi8a,,,فيها,in her
fiha,fi8a,,,فيها,she can
fihom,fi8om,fihoum,fi8oum,فيهوم,in them
fihom,fi8om,fihoum,fi8oum,فيهوم,they can
fina,,,,فينا,in us
fina,,,,فينا,we can
noubti,nobti,,,نوبتي,my turn
noubtek,noubtk,nobtk,nobtek,نوبتك,your turn
noubtna,nobtna,,,نوبتنا,our turn
noubtkom,nobtkoum,noubtkoum,,نوبتكوم,your turn
noubthom,nobthoum,nobt8om,noubthom,نوبتهوم,their turn
7daya,hdaya,,,حدايا,beside me
7dak,hdak,,,حداك,beside you
7dah,hdah,7da8,,حداه,beside him
7daha,hdaha,7da8a,,حداها,beside her
7dana,hdana,,,حدانا,beside us
7dahom,7dahoum,7da8om,hdahoum,حداهوم,beside them
hakka,hokka,8akka,8okka,هاكّا,like this
Safi,,,,صافي,alright
mo7al,mou7al,mohal,mouhal,موحال,not sure
rah,ra8,,,راه,in fact
afin,afen,afine,,أفين,Hi
baraka,,,,باراكا,enough
bllati,blati,bellati,ballati,بلّاتي,wait
3ibadlah,3ibad lah,3ibad allah,ibadlah,عيبادلاه,people
lay7fDk,lay7afDek,lay7fDek,lay7afDak,لايحفضك,thanks
lay7fDk,lay7afDek,lay7fDek,lay7afDak,لايحفضك,please
laykhllik,lah ikhellik,laykhellik,lah ikhllik,لايخلّيك,please
red lbal,rdlbal,rdd lbal,redd lbal,رد لبال,pay attention
ga3,,,,ڭاع,absolutely
ga3,,,,ڭاع,whatsoever
darija,ddarija,,,داريجا,moroccan dialect
3awttani,3awdtani,aawttani,3awtani,عاوتّاني,again
f,,,,ف,in
ila,,,,إلا,if
sidi,,,,سيدي,Mr
lalla,,,,لالّا,Mme
ssi,,,,السي,Mr
moulay,molay,,,مولاي,Mr
ah,,,,أه,yes
lla,la,,,اللا,no
3ndi,aandi,3endi,3andi,عندي,I have
3ndk,aandak,3ndk,,عندك,you have
3ndo,aando,3endo,,عندو,he has
3ndha,aandha,3nd8a,3endha,عندها,she has
3ndna,aandna,3endna,3andna,عندنا,we have
3ndhom,aandhom,3nd8om,3ndhoum,عندهوم,they have
3ndkom,aandkom,3endkom,3ndkoum,عندكوم,you have
mojoud,mojod,kayn,,موجود,available
gha+,,,,غا+,will
ghayr,,,,غاير,non
7tta,htta,,,حتّا,even
fa9aT,ghir,gher,,فاقاط,only
imkn,imken,yemken,,إمكن,could
mazal,,,,مازال,still
Tab3an,,,,طابعان,sure
7sen,7ssen,7san,hsen,حسن,better
yallah,yalla8,,,يالّاه,let us
chi,,,,شي,some
